,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,4.1545,5.6757,4.9891,5.9057,7.2068,0.1704,0.2702,0.0773,0.0488,4.596,7.3976,8.3794
Gm18956,0,0.6339,0,0,0,0,0,0,0,0,0.2646,0
Gm37180,0.5283,0.7916,1.0744,0.7645,1.1364,0.0614,0,0,0,0.2096,0.4955,0.8255
Gm37363,0.2565,0.6359,0.8347,0.6756,0.8793,0,0,0,0,0.1058,0.3412,1.0421
Gm37686,0.1488,0.615,0.3027,0.56,0.0895,0.075,0,0,0,0.1535,0.33,0.3359
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0.2785,0.789,0.6796,0.6286,1.1555,0,0,0.0573,0,0.1149,0.5556,0.817
Gm7341,0.7423,0.9858,0.7548,1.1636,0.2232,0,0.1482,0.1272,0,0.3829,0.4114,0.4188
Gm38148,0.2282,0.9092,1.1216,0.8586,1.8184,0,0.0911,0,0.0494,0.5493,0.5902,0.8155
Gm19938,0.7382,1.8985,2.2518,1.3887,1.9025,0.0531,0.1263,0,0,0.689,1.3248,2.142
Gm10568,0,0,0,0,0,0,0,0,0,0.0723,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0.084,0,0.0854,0.158,0,0,0.1006,0,0,0,0,0
Rp1,0,0,0,0,0.0168,0,0,0,0,0.0192,0.0309,0
Gm6101,0,0,0,0,0.0553,0,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,52.3583,0.7014,0.7079,0.4968,0.5847,0.1088,0.2587,0.395,0.187,24.9383,44.4671,16.4439
Gm37587,0.4713,0.0348,0,0,0,0,0,0,0,0.1215,0.653,0.133
Gm7357,0.4596,0,0.0389,0,0.0691,0.0579,0.1376,0.0788,0.2487,0.079,0.4246,0.2161
Gm22307,2.1413,0,0,0,0,0,0,0,0,0,1.1868,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0.0366,0.042,0.0777,0,0,0,0,0.1073,0.0426,0.0916,0.0932
Gm7369,0,0,0,0,0,0,0,0.2517,0,0.1263,0,0.1381
Gm6085,0.8572,0.483,0.6339,1.0262,1.3357,0.5886,0.84,0.561,0.3036,1.1255,0.6047,0.6156
Gm6119,0.19,0.2523,0,0.3574,0.5998,0,0,0.293,0,0.196,0.1053,0.6432
Gm25493,4.4489,0,0,2.0923,0,0,0,0,0,1.1474,4.9316,1.2551
Gm2053,0.7262,0,0.1846,0.3415,0,0.5485,0,0.1867,0.2357,0.3746,1.2075,0
Gm6123,1.929,4.08,4.4677,3.0239,4.7367,4.3711,4.6202,2.755,5.4268,1.6583,2.9698,2.6605
Mrpl15,33.3405,51.713,49.3705,53.7559,50.7495,65.9052,67.393,67.9865,73.945,39.0864,39.3667,43.7317
Gm37144,5.3793,7.7616,8.4074,8.6202,10.8729,10.0828,12.0493,8.7072,11.3825,6.5769,7.5089,8.9931
Lypla1,18.7431,68.0839,63.9583,79.6574,68.0481,58.0831,62.1552,51.7379,55.4607,20.675,37.3055,52.9407
Gm37988,0.2777,0,0,0.2612,0,0,0.3326,0.2856,1.0818,0,0.4618,0.4701
Tcea1,32.1616,67.5417,69.8465,65.6447,58.228,80.5368,78.4879,75.8284,82.6327,37.7606,48.6991,52.2331
Gm6104,2.6597,2.6913,1.7386,1.0722,1.371,2.009,1.3651,1.5629,0.2467,2.5478,2.3165,2.5727
Gm37277,2.4747,2.465,3.0406,2.3277,2.0463,0.7789,1.7288,1.6965,1.6066,1.0637,1.143,2.0945
Rgs20,1.4053,2.3928,2.4457,2.7453,3.4617,0.8982,1.068,0.5836,1.1229,2.5648,3.2354,4.666
Gm17100,0.4212,0,0.4283,0,0.3799,0,0,0,0,0.4345,0.9337,1.9011
Gm37079,0.0537,0.285,0.1091,0.3028,0.0484,0.1621,0.0643,0,0,0,0.0595,0.1817
Gm16041,0.369,0.4357,0.2814,0.6364,0.5548,0.2788,0.1473,0.1265,0.2396,0.1269,0.4091,0.6594
Gm17101,0,0,0,0,0.1301,0,0,0.2967,0,0,0,0
Atp6v1h,17.62,29.8587,27.7056,29.6304,29.6144,22.9424,23.7902,22.6759,26.0989,17.0004,19.1277,20.109
Gm7182,0,0,0,0,0,0,0,0,0,0,0,0
Gm37567,0.5529,0,0,0,0.0453,0,0,0.0517,0,0.363,0.5015,0.3403
Gm38264,0.0564,0,0.1147,0,0,0,0,0,0,0,0,0
Oprk1,0.7136,0.92,0.9165,1.0598,1.4454,0.0756,0.1499,0.0772,0.1951,0.5037,0.6522,0.6216
Gm36965,0,0,0,0,0,0,0,0,0,0,0,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,0.2793,0,0.0316,0,0,0.0469,0,0,0,0.2561,0.1376,0.035
Gm19214,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,16.4001,22.7234,21.7275,23.267,21.9056,18.0249,19.2577,18.5406,23.492,15.261,21.6977,21.103
4732440D04Rik,2.005,1.8873,1.6739,1.5484,1.8276,1.0521,1.0363,0.9766,1.2058,2.1119,3.9304,3.5248
Alkal1,0,0.4178,0.4799,0,0.745,0.1782,0,0.1213,0.1532,0.1217,0,0.1331
Gm2147,0,0,0,0.6745,0.1617,0,0,0,0,0,0,0
Gm7417,0,0.2144,0,0.4556,0,0,0,0,0,0.2498,0,0.2733
Gm19026,0.0253,0.403,0.18,0.2379,0.2966,0.4202,0.212,0.234,0.0985,0.0783,0.028,0.1142
St18,0.0532,0.0471,0.1442,0.1,0.0799,0.1071,0.0637,0.0547,0,0.0366,0.0393,0.08
Gm42492,0,0.0696,0,0,0,0,0,0,0,0,0,0
Gm7449,0.1728,0.459,0.1757,0.6501,0.7793,0.261,0,0.1777,0.2244,0.1782,0,0
Gm37108,0.915,1.7823,1.6747,1.7213,1.1555,0.8294,2.6299,1.3173,3.089,0.5663,1.0143,1.4456
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0
