"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"0610005C13Rik",13.6296435869932,21.5052647856927,26.8765698635926,25.6939806447533,7.91338293027579,6.46707385383657,5.28918379594267,6.69969845660579,9.28952382482139,1.77916540271767,7.99491338026058,1.73661019510046
"0610007P14Rik",941.581211134782,722.381394392134,888.046662576206,839.336701061942,1084.13346144778,1065.45041741957,1112.49165841327,982.622440302183,1005.12647784567,1111.97837669855,719.542204223452,824.889842672717
"0610009B22Rik",612.198157782445,570.867028856571,582.32568037784,622.365308950692,390.129778462597,386.407662766735,365.835212552701,360.294894777467,363.220381550516,394.974719403324,265.608788966435,264.83305475282
"0610009L18Rik",13.6296435869932,9.77512035713307,14.558142009446,11.4195469532237,10.2873978093585,11.317379244214,16.7490820204851,17.8658625509488,16.7211428846785,18.6812367285356,24.8730638496996,19.9710172436552
"0610009O20Rik",1025.63067992124,998.039788463286,983.23451417643,953.532170594179,1008.95632361016,978.144920392781,1061.36288171916,1071.95175305693,1121.24552565594,1163.57417337736,1350.25203755512,1387.55154588526
"0610010B08Rik",55.6543779802223,47.898089749952,44.7942831059877,39.968414336283,29.2795168420204,33.952137732642,26.4459189797134,26.0543828868003,30.6554286219106,30.2458118462005,8.88323708917842,15.6294917559041
"0610010F05Rik",1219.85310103589,961.871843141894,911.563661206849,883.587445505684,1156.93658440632,1257.84586457121,907.976551636825,908.181346339896,1161.19047810267,1096.85547077545,465.481623472949,506.221871871783
"0610010K14Rik",804.1489716326,869.008199749129,677.513531978064,698.019807515799,736.735950808676,850.420211779509,756.353282819802,735.478008347391,927.094477717175,953.632655856674,731.090412439384,612.155093772911
"0610012G03Rik",356.642340526323,467.250753070961,413.227261652736,423.95068063843,318.117993797087,265.150028007299,332.337048511731,324.563169675569,415.241714969516,522.185045697638,554.313994364733,714.615095283838
"0610030E20Rik",701.926644730151,589.439757535124,725.667386317,757.972429020223,729.613906171428,570.719267601077,794.259100024058,716.123323917197,917.804953892353,961.638900168903,1103.29804647596,1002.02408257296
