,MD-R-EB-1,MD-R-EB-2,MD-R-EB-3,MD-R-EB-4,MD-R-EB-5,MD-R-EB-6,MD-R-EB-7,MD-R-EB-8,MD-R-EB-9,MD-R-EB-10,MD-R-EB-11,MD-R-EB-12
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,221,341,261,167,425,6,12,4,2,237,355,395
Gm18956,0,3,0,0,0,0,0,0,0,0,1,0
Gm37180,13,22,26,10,31,1,0,0,0,5,11,18
Gm37363,5,14,16,7,19,0,0,0,0,2,6,18
Gm37686,3,14,6,6,2,1,0,0,0,3,6,6
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,5,16,12,6,23,0,0,1,0,2,9,13
Gm7341,6,9,6,5,2,0,1,1,0,3,3,3
Gm38148,6,27,29,12,53,0,2,0,1,14,14,19
Gm19938,21,61,63,21,60,1,3,0,0,19,34,54
Gm10568,0,0,0,0,0,0,0,0,0,1,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,1,0,1,1,0,0,1,0,0,0,0,0
Rp1,0,0,0,0,2,0,0,0,0,2,3,0
Gm6101,0,0,0,0,1,0,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,2181,33,29,11,27,3,9,16,6,1007,1671,607
Gm37587,12,1,0,0,0,0,0,0,0,3,15,3
Gm7357,12,0,1,0,2,1,3,2,5,2,10,5
Gm22307,2,0,0,0,0,0,0,0,0,0,1,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,1,1,1,0,0,0,0,2,1,2,2
Gm7369,0,0,0,0,0,0,0,2,0,1,0,1
Gm6085,11,7,8,7,19,5,9,7,3,14,7,7
Gm6119,2,3,0,2,7,0,0,3,0,2,1,6
Gm25493,4,0,0,1,0,0,0,0,0,1,4,1
Gm2053,4,0,1,1,0,2,0,1,1,2,6,0
Gm6123,18,43,41,15,49,27,36,25,39,15,25,22
Mrpl15,2470,4327,3597,2117,4168,3232,4169,4898,4219,2807,2631,2871
Gm37144,54,88,83,46,121,67,101,85,88,64,68,80
Lypla1,1169,4796,3923,2641,4705,2398,3237,3138,2664,1250,2099,2926
Gm37988,2,0,0,1,0,0,2,2,6,0,3,3
Tcea1,847,2009,1809,919,1700,1404,1726,1942,1676,964,1157,1219
Gm6104,14,16,9,3,8,7,6,8,1,13,11,12
Gm37277,24,27,29,12,22,5,14,16,12,10,10,18
Rgs20,52,100,89,54,142,22,33,21,32,92,108,153
Gm17100,1,0,1,0,1,0,0,0,0,1,2,4
Gm37079,1,6,2,3,1,2,1,0,0,0,1,3
Gm16041,12,16,9,11,20,6,4,4,6,4,12,19
Gm17101,0,0,0,0,2,0,0,4,0,0,0,0
Atp6v1h,1499,2869,2318,1340,2793,1292,1690,1876,1710,1402,1468,1516
Gm7182,0,0,0,0,0,0,0,0,0,0,0,0
Gm37567,11,0,0,0,1,0,0,1,0,7,9,6
Gm38264,1,0,2,0,0,0,0,0,0,0,0,0
Oprk1,57,83,72,45,128,4,10,6,12,39,47,44
Gm36965,0,0,0,0,0,0,0,0,0,0,0,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,9,0,1,0,0,1,0,0,0,8,4,1
Gm19214,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,2103,3291,2740,1586,3114,1530,2062,2312,2320,1897,2510,2398
4732440D04Rik,95,101,78,39,96,33,41,45,44,97,168,148
Alkal1,0,4,4,0,7,1,0,1,1,1,0,1
Gm2147,0,0,0,2,1,0,0,0,0,0,0,0
Gm7417,0,1,0,1,0,0,0,0,0,1,0,1
Gm19026,1,18,7,5,13,11,7,9,3,3,1,4
St18,3,3,8,3,5,4,3,3,0,2,2,4
Gm42492,0,2,0,0,0,0,0,0,0,0,0,0
Gm7449,1,3,1,2,5,1,0,1,1,1,0,0
Gm37108,5,11,9,5,7,3,12,7,13,3,5,7
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0,0,0,0,0,0,0
Gm37489,0,0,0,2,1,0,0,0,0,0,0,2
Gm5694,0,3,0,0,2,0,0,0,3,1,0,1
Pcmtd1,1119,2530,2121,1395,2665,1137,1478,1672,1609,1330,1751,1593
Gm26983,11,13,17,12,22,7,4,8,7,4,10,14
Gm38372,188,561,473,266,477,177,242,277,231,192,377,390
Gm9826,5,4,6,5,3,3,3,6,0,1,1,4
Nras-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,0,0,0,1,1,0,0,0,0,0,0,0
Gm26901,43,129,71,45,95,40,71,48,48,49,48,59
Gm18984,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,5,14,5,5,4,1,3,4,0,4,12,9
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,0,2,0,0,0,0,0,1,0,0,0,0
Rps2-ps2,0,0,0,0,1,0,1,0,0,0,0,0
Gm38216,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,11,40,35,18,26,60,50,76,74,16,12,30
Gm38024,0,0,0,0,0,0,0,0,0,0,0,1
Gm16284,5,0,0,2,0,0,1,0,1,1,0,0
Gm38259,0,1,1,0,0,0,2,1,0,0,0,0
Gm23358,0,1,0,0,0,0,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0,0,0,0,0,0,0
Gm15452,12,12,8,9,19,9,9,12,6,9,7,15
Gm36964,16,16,16,2,15,5,9,14,9,13,17,18
Gm24276,0,1,0,0,2,0,1,2,1,1,1,2
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0
Gm7445,0,0,0,0,0,0,0,0,0,0,0,0
Gm7493,0,0,0,1,0,1,0,1,0,0,0,0
Gm37629,0,0,0,0,0,0,0,0,0,0,0,0
Gm38008,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,0,0,0,0,1,0,0,0,0,0,1,1
Gm6187,0,1,2,0,2,0,1,0,0,2,3,2
Gm18299,0,0,0,0,0,0,0,0,0,0,0,0
Gm7512,0,0,0,0,0,0,0,1,0,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,1,0,1,0,0,0,0,2,0,1,1,2
