"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Eif2s3y",390.413564021277,2.45078744542628,0.26593647223588,9.2156875844111,3.0928961614758e-20,5.44782729882347e-16
"Cxxc5",1325.77611347443,1.92875293941621,0.248167409716141,7.77198320126865,7.7266698560096e-15,6.80487814218766e-11
"Gm50399",36.7042756544409,-2.49550054026271,0.328324079681023,-7.60072347628954,2.94479752857496e-14,1.72898878894398e-10
"Lad1",748.820669480769,-0.654887162171604,0.102818699127983,-6.36933911560616,1.898444407319e-10,8.35979994762921e-07
"Ppp1r14a",156.719668322266,-0.784432443570017,0.12540773893199,-6.25505610937954,3.97373019001636e-10,1.39986567133896e-06
"Uty",440.225416022723,1.76358223706343,0.287872525934831,6.12626102937893,8.99681643118855e-10,2.64116541031592e-06
"Ddx3y",266.909721230486,1.68390956192251,0.298232379462936,5.64630026073942,1.63937427261715e-08,4.12513406255406e-05
"Ccdc88a",2667.38416056351,0.447294419986357,0.0805631989552128,5.552093583511,2.82268403365057e-08,6.21484457109013e-05
"Rhox9",257.458050720001,-2.27406994172395,0.417913625933133,-5.44148312141373,5.28388002100455e-08,8.46093297181583e-05
"F3",166.344174355081,-0.52087232794499,0.0954065951160547,-5.45950022963705,4.77476719260903e-08,8.46093297181583e-05
"Sfrp1",2098.52499011038,1.00375763313528,0.184243507487318,5.44799459597983,5.0940905681096e-08,8.46093297181583e-05
"Psd2",139.579933275825,-3.32995951560081,0.620465532935166,-5.36687267679181,8.01135683312161e-08,0.000117593366048837
"Phldb3",90.8228870649759,-0.972111335755762,0.182702633835694,-5.32072973085867,1.03351846832474e-07,0.000140033802315938
"Xlr3a",19.2889118301749,4.46567852172437,0.863027885880077,5.17443131883331,2.28606180150243e-07,0.000272054083727009
"Gprasp1",2601.96149702596,0.2718589850891,0.0525642514680161,5.17193677255194,2.31679985006536e-07,0.000272054083727009
"Rtn4",9076.64591917714,0.240445870013796,0.0469007803409492,5.12669231227826,2.94876835179937e-07,0.000324622535928713
"Cdc42bpg",1599.91946726457,-0.390304330330981,0.0768210276430154,-5.08069655283331,3.76053411275329e-07,0.000389635575659038
"Tlnrd1",860.618523213821,-0.456560412169873,0.0913404359858959,-4.99844791895204,5.77936113878343e-07,0.000535777195255428
"Taok1",8720.47919921128,0.313536149711712,0.0627004255661897,5.0005426100454,5.71691912614552e-07,0.000535777195255428
"3830417A13Rik",73.6234090808596,-2.99119351827629,0.610093898482124,-4.90284122774902,9.44603314180428e-07,0.000771429414881576
"Tiparp",3186.6853194268,0.414100509975545,0.0846796030696457,4.89020372042797,1.00731671070037e-06,0.000771429414881576
"Mapk8",1667.97740186023,0.423699808152621,0.0863898309299467,4.90451021366389,9.36607483038711e-07,0.000771429414881576
"Lgals1",1491.95867125006,-1.04100588539052,0.212553322751257,-4.89762226210299,9.70032790213667e-07,0.000771429414881576
"Lrp8os2",78.0412364149303,0.795154472489086,0.169891011217094,4.68037989056997,2.86343828469256e-06,0.0020107274175719
"Zfp469",188.691000331632,-0.796799297063825,0.170335340142338,-4.67782725767883,2.89930626851708e-06,0.0020107274175719
"Cnot6",4410.7146593293,0.32691973881225,0.0699589890241446,4.67301977018882,2.96803184153908e-06,0.0020107274175719
"Pcbp1",10103.9513240881,-0.314548649980376,0.067437234270104,-4.66431717410778,3.09643481644741e-06,0.00202002232803351
"Bmt2",1158.57122031332,0.464681129963912,0.100407286753549,4.62796222254745,3.69281356189734e-06,0.00232304350283071
"Slc25a4",6909.11024170345,-0.381281190137278,0.082562717897167,-4.61807944128207,3.87307987602948e-06,0.00235242858401322
"Nxf3",41.1968021706882,2.28884403353783,0.502184406806154,4.55777599327439,5.1698132196804e-06,0.00303536966838169
"Aox3",14.1176086807355,-2.27112958659997,0.505149278141557,-4.49595730385967,6.92576339902298e-06,0.00393517408098035
"Hspg2",8728.64217414217,-0.515820570025028,0.117017130398008,-4.40807741798639,1.04292268691933e-05,0.00560053871009355
"Upf1",7517.89823257717,-0.212452188078255,0.0482104808378549,-4.40676351668821,1.04926636444355e-05,0.00560053871009355
"S100a13",52.8360599106879,-1.18827478749428,0.270319423976577,-4.39581725210113,1.10356752339507e-05,0.00571712892855315
"Gm41693",13.3948234631414,-2.273929067713,0.518351855560782,-4.38684465642153,1.15006865633467e-05,0.00578780266076541
"Rhox6",202.509055844603,-2.33451824703401,0.534932617413736,-4.36413516588466,1.27626650682237e-05,0.00624448840310255
"Nsg2",37.3992529375532,1.90350912161764,0.442295126618804,4.30370810587337,1.67962927505626e-05,0.00799594325698404
"Samd8",1486.93821225562,0.277368521062139,0.0657184400670807,4.22055850350406,2.4369780038253e-05,0.0112960343577313
"Cmip",2110.28780328091,-0.274202395405522,0.0651144729959625,-4.21108215714998,2.54150288903564e-05,0.0114784697147369
"Eml2",705.077337418168,-0.428511652342447,0.102062575109911,-4.19851891725233,2.68666412680241e-05,0.0118307254823744
"Nlk",2078.26762849402,0.28961278123461,0.0694155518901945,4.17215988850361,3.01725782454532e-05,0.0129624339808637
"Gpat3",137.072783590263,-1.76223018717871,0.423364895282967,-4.16243813980107,3.14867456984748e-05,0.0132049413984032
"Chmp1a",1467.29399521556,-0.250152759283672,0.0606718904945664,-4.12304210804301,3.73901314663823e-05,0.0153160412941595
"Tinagl1",94.5804248160419,-1.65851365846439,0.405395501504251,-4.0911003015829,4.29331384713337e-05,0.0171869159325925
"Ap2s1",988.948306836561,-0.288963964815747,0.0709775322721318,-4.07120331695731,4.67709040067353e-05,0.0179496705823363
"Fam8a1",1234.34985898466,0.307305533235854,0.0754924798614803,4.07067742111165,4.68766235260288e-05,0.0179496705823363
"Apobr",52.5553199899568,-0.741674263561727,0.18317935668872,-4.04889654035671,5.14596854649827e-05,0.0188835604120876
"Fez1",71.0912813271068,1.36153115932992,0.336162909410802,4.05021232626853,5.11711814794122e-05,0.0188835604120876
"Trmt44",491.830820797755,-0.269116543432197,0.0669216266318448,-4.02136883062757,5.78609247663542e-05,0.0207992312007054
"Phf13",1733.1959441423,-0.49041053477431,0.122335034141473,-4.00874972746713,6.1041065758548e-05,0.0210819084759032
