"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB"
"Gm6123",33.4106046624209,34.9173214235083,21.356269820784,37.8635611830764
"Mrpl15",3999.37312107202,4043.61980596128,4184.12038328801,4096.06063157434
"Gm37144",82.9077967548964,97.9624851048426,72.6113173906657,85.4357277977109
"Lypla1",2967.3566659439,3139.64915133045,2680.63898790481,2586.37248696707
"Tcea1",1737.35144244589,1674.0915771382,1658.9550396785,1627.16227032913
"Gm37277",6.18714901155943,13.5789583313643,13.6680126853018,11.6503265178697
"Rgs20",27.2234556508615,32.0075446382159,17.9392666494586,31.0675373809858
"Atp6v1h",1598.75930458696,1639.17425571469,1602.57448735163,1660.17152879643
"Rb1cc1",1893.26759753719,1999.98657709095,1975.02783302611,2252.39646012147
"4732440D04Rik",40.8351834762922,39.7669493989955,38.4412856774112,42.7178638988554
"Pcmtd1",1406.95768522861,1433.55002955403,1428.30732561404,1562.11461393769
"Gm38372",219.025075009204,234.721994013583,236.627469614287,224.268785468991
"Gm26901",49.4971920924754,68.8647172519191,41.0040380559053,46.6013060714787
"Sntg1",74.2457881387132,48.4962797548726,64.9230602551834,71.8436801935296
"Rrs1",1982.36254330364,1878.74587770376,1955.38006479098,1523.28019221146
"Adhfe1",34.6480344647328,35.8872470186057,39.2955364702426,42.7178638988554
"Mybl1",596.441164714329,629.481711218246,624.457329559725,737.854012798412
"Vcpip1",1927.91563200192,1872.92632413318,1962.21407113364,2224.24150436995
"Sgk3",169.527882916728,165.857276761664,204.165939486695,181.550921570136
"Mcmdc2",318.019459194155,308.43633924099,316.927044140435,348.538934992934
"Snhg6",1096.36280484833,1082.43696412876,1101.98352275246,899.016862962276
"Snord87",45.7849026855398,52.3759821352624,51.2550475698816,39.805282269388
"Tcf24",24.7485960462377,39.7669493989955,48.6922951913876,52.4264693304135
"Cops5",2572.61655900641,2562.54342224747,2484.1613055536,2505.79106188513
"Cspp1",2117.24239175564,2273.50559490843,2102.31120115798,2161.13556906482
"Arfgef1",2416.70040391511,2378.25755917895,2716.51752120373,2967.9206804273
"Gm37569",18.5614470346783,9.69925595097452,15.3765142709645,10.6794659747139
"Prex2",503.633929540938,417.068005891904,386.121358359775,443.683268222203
"A830018L16Rik",189.326759753719,187.195639853808,146.076885574163,144.658220930215
"Gm38178",25.9860258485496,17.4586607117541,10.2510095139763,17.4754897768045
"Sulf1",1531.93809526211,1724.52770808327,1206.20211947788,1282.50677750882
"Slco5a1",124.9804100335,137.729434503838,104.218596725426,103.882078117671
"Gm29283",18.5614470346783,15.5188095215592,10.2510095139763,10.6794659747139
"Prdm14",417.013843379106,406.398824345832,656.064608894485,509.701785156798
"Ncoa2",1228.7677936957,1236.65513374925,1343.73649712373,1401.92262431698
"Gm38376",22.2737364416139,12.6090327362669,18.7935174422899,24.2715135788951
"Gm37702",8.6620086161832,15.5188095215592,7.68825713548225,10.6794659747139
"Gm38120",33.4106046624209,11.6391071411694,24.7732729921095,26.2132346652068
"Gm38380",16.0865874300545,19.398511901949,11.9595110996391,16.5046292336487
"Gm7593",8.6620086161832,9.69925595097452,8.54250792831361,14.5629081473371
"Tram1",2176.63902226661,2361.76882406229,2391.04796913498,2660.15788824691
"Lactb2",2278.10826605618,2079.52047588894,1978.44483619743,2351.42423552336
"Gm38319",44.5474728832279,37.8270982088006,35.8785332989172,36.8927006399206
"Gm5523",13.6117278254307,21.3383630921439,22.2105206136154,46.6013060714787
"Eya1",70.5334987317775,68.8647172519191,66.6315618408461,57.2807720461925
"Gm9947",21.0363066393021,8.72933035587706,10.2510095139763,11.6503265178697
"Msc",266.047407497055,202.714449375367,216.125450586334,139.803918214436
"Rpl5-ps1",37.1228940693566,38.7970238038981,58.9433047053639,77.6688434524645
"Trpa1",70.5334987317775,52.3759821352624,64.0688094623521,67.9602380209064
"Gm10566",12.3742980231189,32.0075446382159,33.3157809204231,35.9218400967648
"Terf1",3779.1106162605,3613.9427673331,3428.96268242508,3392.18673778639
"Gm37509",22.2737364416139,15.5188095215592,17.0850158566272,12.6211870610255
"Rpl7",24046.9733483269,23937.7636870051,25037.2364870944,21165.7307013397
"Rdh10",131.16755904506,139.669285694033,111.906853860908,133.978754955501
"Stau2",267.284837299367,247.33102674985,235.773218821456,277.66611534256
"Ube2w",513.533367959433,584.865133843763,562.097021683035,587.370628609262
"Eloc",1545.54982308755,1614.92611583726,1545.33968423193,1552.40600850613
"Tmem70",654.600365422988,617.842604077077,680.837881886595,752.416920945749
"Gm5828",39.5977536739804,37.8270982088006,29.0445269562663,35.9218400967648
"Jph1",178.189891532912,182.346011878321,149.493888745488,126.211870610255
"Gm5251",18.5614470346783,24.2481398774363,30.753028541929,17.4754897768045
"Crispld1",34.6480344647328,37.8270982088006,37.5870348845799,34.950979553609
"Gm4849",4.94971920924754,8.72933035587706,9.39675872114497,23.3006530357393
"Pkhd1",29.6983152554853,18.4285863068516,11.9595110996391,19.4172108631161
"Mcm3",9290.62295575764,9208.47359985521,9676.09873040082,8831.91836108836
"Paqr8",147.254146475114,153.248244025397,154.619393502476,141.745639300748
"Efhc1",38.3603238716685,38.7970238038981,35.0242825060858,34.950979553609
"Tram2",445.474728832279,447.135699339925,479.234694778393,533.002438192537
"Tmem14a",66.8212093248418,51.4060565401649,64.0688094623521,66.9893774777506
"Gsta3",160.865874300545,166.827202356762,224.667958514648,142.716499843903
"Gm28836",16.0865874300545,11.6391071411694,23.0647714064467,8.73774488840225
"Kcnq5",30.9357450577972,19.398511901949,11.9595110996391,11.6503265178697
"Gm7658",28.4608854531734,30.067693448021,31.6072793347603,20.3880714062719
"Rims1",320.494318798778,288.067901743943,287.882517184169,205.822435149031
"Ogfrl1",467.748465273893,363.722098161544,410.894631351885,464.071339628475
