"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB"
"0610005C13Rik",12,22,24,18
"0610007P14Rik",829,739,793,588
"0610009B22Rik",539,584,520,436
"0610009L18Rik",12,10,13,8
"0610009O20Rik",903,1021,878,668
"0610010B08Rik",49,49,40,28
"0610010F05Rik",1074,984,814,619
"0610010K14Rik",708,889,605,489
"0610012G03Rik",314,478,369,297
"0610030E20Rik",618,603,648,531
"0610031O16Rik",0,0,0,0
"0610037L13Rik",376,463,397,308
"0610038B21Rik",2,2,4,0
"0610039H22Rik",4,0,5,1
"0610039K10Rik",6,12,10,7
"0610040B10Rik",8,15,11,4
"0610040F04Rik",89,81,67,39
"0610040J01Rik",12,9,11,2
"0610043K17Rik",12,15,16,10
"1010001N08Rik",1,1,0,0
"1110002J07Rik",203,248,107,103
"1110002L01Rik",1323,1470,1351,990
"1110004E09Rik",630,789,685,518
"1110004F10Rik",2165,2433,2179,1718
"1110006O24Rik",10,14,12,15
"1110008F13Rik",1435,1467,1310,1111
"1110008L16Rik",1300,1590,1237,962
"1110008P14Rik",193,232,191,144
"1110012L19Rik",249,256,227,184
"1110015O18Rik",0,0,0,0
"1110017D15Rik",0,0,1,0
"1110019D14Rik",115,141,128,92
"1110020A21Rik",4,6,5,6
"1110025L11Rik",0,0,0,0
"1110028F11Rik",3,0,0,1
"1110028F18Rik",0,0,0,0
"1110032A03Rik",59,35,49,43
"1110032F04Rik",12,11,13,9
"1110034G24Rik",92,122,77,73
"1110036E04Rik",1,0,1,1
"1110037F02Rik",3086,3297,2832,2325
"1110038B12Rik",1110,1706,1441,1166
"1110038F14Rik",323,414,368,341
"1110046J04Rik",3,2,4,4
"1110051M20Rik",165,193,177,126
"1110058D11Rik",0,0,0,0
"1110059E24Rik",689,840,707,497
"1110059G10Rik",282,259,215,196
"1110065P20Rik",85,120,107,105
"1190002N15Rik",1421,1224,1048,791
"1190003K10Rik",0,0,0,0
"1190005I06Rik",0,0,0,0
"1190007I07Rik",142,223,158,133
"1300002E11Rik",145,169,135,119
"1300017J02Rik",9,12,9,6
"1500004A13Rik",16,30,38,22
"1500009C09Rik",11,14,10,2
"1500009L16Rik",269,408,358,277
"1500011B03Rik",210,236,199,184
"1500011K16Rik",181,208,190,153
"1500012K07Rik",0,0,0,1
"1500015A07Rik",185,162,172,115
"1500015L24Rik",0,0,1,0
"1500015O10Rik",0,5,4,1
"1500017E21Rik",0,1,0,0
"1500026H17Rik",0,1,0,1
"1600002D24Rik",0,0,1,0
"1600002H07Rik",446,532,453,349
"1600002K03Rik",33,58,44,33
"1600010M07Rik",0,1,3,0
"1600012H06Rik",432,476,524,415
"1600014C10Rik",111,133,113,102
"1600014C23Rik",6,10,7,3
"1600015I10Rik",0,0,0,0
"1600019K03Rik",0,0,0,0
"1600020E01Rik",139,153,151,117
"1600023N17Rik",10,8,11,5
"1600025M17Rik",0,0,0,0
"1600027J07Rik",0,0,0,0
"1600029I14Rik",0,0,0,0
"1600029O15Rik",2,3,8,5
"1700001C02Rik",0,1,0,0
"1700001C19Rik",4,5,1,2
"1700001D01Rik",0,0,0,0
"1700001F09Rik",0,0,0,0
"1700001G01Rik",0,0,0,0
"1700001G11Rik",8,13,9,6
"1700001G17Rik",1,3,2,1
"1700001J03Rik",1,2,1,0
"1700001J11Rik",6,4,2,5
"1700001K19Rik",1,0,0,3
"1700001K23Rik",0,1,0,0
"1700001L05Rik",1859,1833,1600,1163
"1700001L19Rik",3,4,2,2
"1700001O22Rik",21,28,20,23
"1700001P01Rik",5,16,21,11
"1700003C15Rik",0,0,0,0
"1700003D09Rik",2,0,0,0
"1700003E16Rik",1,3,7,5
"1700003E24Rik",0,0,0,0
"1700003F12Rik",2,4,7,6
"1700003G13Rik",0,0,0,1
"1700003G18Rik",1,3,5,1
"1700003H04Rik",0,0,0,0
"1700003I22Rik",0,0,0,0
"1700003L19Rik",0,0,0,0
"1700003M07Rik",14,32,28,18
"1700003P14Rik",0,1,0,0
