"","MD-R-EB-5","MD-R-EB-6","MD-R-EB-7","MD-R-EB-8"
"4933401J01Rik",0,0,0,0
"Gm26206",0,0,0,0
"Xkr4",341,261,167,425
"Gm18956",3,0,0,0
"Gm37180",22,26,10,31
"Gm37363",14,16,7,19
"Gm37686",14,6,6,2
"Gm1992",0,0,0,0
"Gm37329",16,12,6,23
"Gm7341",9,6,5,2
"Gm38148",27,29,12,53
"Gm19938",61,63,21,60
"Gm10568",0,0,0,0
"Gm38385",0,0,0,0
"Gm27396",0,0,0,0
"Gm37381",0,1,1,0
"Rp1",0,0,0,2
"Gm6101",0,0,0,1
"Gm37483",0,0,0,0
"Sox17",33,29,11,27
"Gm37587",1,0,0,0
"Gm7357",0,1,0,2
"Gm22307",0,0,0,0
"Gm38076",0,0,0,0
"Gm37323",1,1,1,0
"Gm7369",0,0,0,0
"Gm6085",7,8,7,19
"Gm6119",3,0,2,7
"Gm25493",0,0,1,0
"Gm2053",0,1,1,0
"Gm6123",43,41,15,49
"Mrpl15",4327,3597,2117,4168
"Gm37144",88,83,46,121
"Lypla1",4796,3923,2641,4705
"Gm37988",0,0,1,0
"Tcea1",2009,1809,919,1700
"Gm6104",16,9,3,8
"Gm37277",27,29,12,22
"Rgs20",100,89,54,142
"Gm17100",0,1,0,1
"Gm37079",6,2,3,1
"Gm16041",16,9,11,20
"Gm17101",0,0,0,2
"Atp6v1h",2869,2318,1340,2793
"Gm7182",0,0,0,0
"Gm37567",0,0,0,1
"Gm38264",0,2,0,0
"Oprk1",83,72,45,128
"Gm36965",0,0,0,0
"Gm22463",0,0,0,0
"Gm37429",0,0,0,0
"Npbwr1",0,1,0,0
"Gm19214",0,0,0,0
"Rb1cc1",3291,2740,1586,3114
"4732440D04Rik",101,78,39,96
"Alkal1",4,4,0,7
"Gm2147",0,0,2,1
"Gm7417",1,0,1,0
"Gm19026",18,7,5,13
"St18",3,8,3,5
"Gm42492",2,0,0,0
"Gm7449",3,1,2,5
"Gm37108",11,9,5,7
"Gm37275",0,0,0,0
"Gm37225",0,0,0,0
"Gm37489",0,0,2,1
"Gm5694",3,0,0,2
"Pcmtd1",2530,2121,1395,2665
"Gm26983",13,17,12,22
"Gm38372",561,473,266,477
"Gm9826",4,6,5,3
"Nras-ps2",0,0,0,0
"Gm23274",0,0,0,0
"Gm19002",0,0,1,1
"Gm26901",129,71,45,95
"Gm18984",0,0,0,0
"Gm30414",14,5,5,4
"Gm37791",0,0,0,0
"Gm7470",2,0,0,0
"Rps2-ps2",0,0,0,1
"Gm38216",0,0,0,0
"Sntg1",40,35,18,26
"Gm38024",0,0,0,0
"Gm16284",0,0,2,0
"Gm38259",1,1,0,0
"Gm23358",1,0,0,0
"Gm37005",0,0,0,0
"Gm15452",12,8,9,19
"Gm36964",16,16,2,15
"Gm24276",1,0,0,2
"Gm6152",0,0,0,0
"Gm7445",0,0,0,0
"Gm7493",0,0,1,0
"Gm37629",0,0,0,0
"Gm38008",0,0,0,0
"Gm37143",0,0,0,1
"Gm6187",1,2,0,2
"Gm18299",0,0,0,0
"Gm7512",0,0,0,0
"Gm24765",0,0,0,0
"Gm18300",0,1,0,0
"Rrs1",3408,2762,1492,3252
"Adhfe1",55,57,38,68
"2610203C22Rik",6,5,9,7
"Gm6161",0,3,2,0
"Vxn",0,1,0,0
"Gm29520",0,0,0,1
"Mybl1",805,654,417,796
"Vcpip1",2938,2490,1458,2921
"1700034P13Rik",9,7,1,5
"Sgk3",642,517,374,732
"Gm6195",3,9,2,4
"Gm22607",0,0,0,1
"Mcmdc2",406,431,190,477
"Snhg6",1492,1306,723,1604
"Snord87",92,59,40,84
"Tcf24",63,81,48,109
"E330040D14Rik",0,1,1,5
"Ppp1r42",0,0,1,1
"Gm15818",0,0,0,0
"Gm24674",0,0,0,0
"Cops5",3408,2942,1545,3401
"Cspp1",3911,3131,1761,3630
"1700047N06Rik",25,13,4,10
"Arfgef1",4919,3997,2403,5057
"Gm26348",5,2,4,6
"Gm37569",35,16,16,27
"Cpa6",0,0,2,1
"Gm38005",0,0,0,0
"Gm15604",1,2,3,5
"Gm25253",0,0,0,0
"Gm15603",0,0,0,0
"Gm37133",0,0,1,0
"Gm5522",3,2,0,4
"Gm28659",0,0,1,0
"Gm22963",0,0,0,0
"Prex2",1328,1010,687,1302
"Gm24173",0,1,1,4
"Gm28686",10,1,1,8
"Gm37410",1,5,0,0
"A830018L16Rik",577,430,338,726
"Gm38178",94,85,66,103
"Gm29273",2,2,0,2
"Gm38069",5,6,5,11
"Gm7560",3,0,0,1
"Gm22633",0,0,0,0
"Mir6341",0,0,0,0
"Gm2383",4,3,1,7
"Gm6216",0,0,0,2
"Gm17644",1,0,1,0
"Gm29663",0,0,0,0
"Sulf1",5037,4481,2741,5663
"Slco5a1",505,421,181,322
"Gm37162",0,0,0,1
"Gm5250",1,0,1,0
"Gm29283",7,2,1,1
"Prdm14",409,303,107,161
"Ncoa2",3662,2895,1562,2845
"Gm38376",49,25,18,39
"Gm37409",23,15,7,14
"Gm27881",0,1,1,1
"Gm38223",4,3,0,4
"Gm37702",30,13,10,28
"Gm23169",0,2,2,2
"Gm38120",62,62,21,52
"Gm38380",43,33,13,38
"Gm29570",1,0,2,4
"Gm7593",9,12,6,12
"Tram1",4826,4038,2543,4885
"Lactb2",1885,1593,701,1438
"Gm38319",51,32,10,26
"Xkr9",0,0,0,1
"Gm26273",0,0,0,0
"Gm5523",30,23,20,31
"Gm36947",0,0,0,0
"Gm25491",0,0,0,0
"Gm37400",1,0,2,0
"Eya1",158,119,99,183
"Gm22616",0,0,0,0
"Gm37444",2,0,0,2
"Gm9947",37,26,8,18
"Msc",254,134,47,78
"Gm37412",4,6,4,4
"Smt3h2-ps4",0,0,0,0
"Rpl5-ps1",35,32,43,43
"Trpa1",172,184,125,259
"Gm26345",0,0,0,0
"Gm10566",45,48,33,39
"Kcnb2",4,3,0,5
"Gm38116",0,0,0,0
"Gm37138",0,0,0,0
"Gm25227",0,0,0,0
"Gm25168",0,0,0,0
"Gm6060",1,0,0,0
"Gm28669",0,0,0,0
"Terf1",4168,3349,1733,3754
"Gm37509",35,30,18,17
"Sbspon",2,10,4,3
"Gm23259",0,0,0,0
"Gm7634",0,0,0,0
"4930444P10Rik",3,4,3,8
"Rpl7",30269,25736,16170,33071
"Rdh10",322,283,136,281
"Gm38249",0,0,0,0
"Gm28095",0,2,0,1
"Stau2",911,834,404,976
"Gm7568",1,2,2,0
"Ube2w",751,639,372,815
"Gm38342",23,21,6,24
"Eloc",2158,1843,1053,2300
"D030040B21Rik",9,7,2,6
"Gm7654",2,1,0,1
"Tmem70",768,604,362,665
"Ly96",18,11,7,17
"Gm29649",0,0,0,0
"Gm5828",49,52,18,47
"Gm28376",2,0,0,0
"4921511E07Rik",0,2,1,1
"Jph1",1533,1337,857,1700
"Gm28783",0,0,0,1
"Gdap1",19,11,8,17
"Gm28784",0,0,0,0
"Gm28785",0,3,1,1
"Gm5251",26,13,6,10
"Rbm6-ps1",18,6,7,5
"Gm6075",0,0,1,0
"Gm25166",0,0,0,0
"Pi15",10,15,5,2
"Gm28154",1,1,2,3
"Gm16070",39,23,26,57
"Crispld1",418,356,250,532
"Gm28153",4,11,3,15
"Gm7690",1,0,0,1
"Gm18775",2,0,1,0
"Gm17969",7,5,3,8
"Gm28756",12,3,6,7
"Gm28755",0,0,0,0
"Gm45784",0,0,1,0
"Crisp4",0,0,0,0
"Defb44-ps",0,0,0,0
"Defb18",0,0,0,0
"Defb41",0,0,0,0
"Gm17837",1,4,1,2
"Gm5252",1,2,0,0
"Gm24075",0,0,0,0
"Gm28343",0,0,0,0
"Gm28344",0,1,0,0
"Gm15825",0,3,1,0
"Tfap2d",1,0,0,0
"Gm10075",3,3,1,4
"Tfap2b",1,0,1,2
"Gm28340",0,0,0,0
"Gm28341",0,0,0,0
"Gm4849",10,10,5,12
"Gm24633",0,0,0,0
"Gm38382",0,0,0,0
"Pkhd1",20,11,10,16
"Gm37315",1,0,1,1
"4930486I03Rik",0,0,0,0
"Gm15795",3,1,0,4
"Gm24162",0,0,0,0
"Gm28653",0,0,0,0
"Mir206",0,0,0,0
"Mir133b",0,0,0,0
"Il17a",0,0,0,0
"Il17f",13,5,4,3
"Mcm3",12222,10261,5962,11251
