Category	Term	Count	Percent	PValue	Genes	ListTotal	PopHits	PopTotal	FoldEnrichment	Bonferroni	Benjamini	FDR	ES
GOTERM_BP_ALL	GO:0001568~blood vessel development	101	4.997525977	8.44E-07	"SPARC, SERPINE1, RBPJ, HOXA13, MYLK, CDH5, NDST1, GJA1, ZMIZ1, ANPEP, AKT1, HOXA1, QK, JUNB, EPHB4, EPHB3, FBXW8, UNC5B, FOXH1, VASH1, LEMD3, HSPG2, PGF, PRL7D1, COL4A2, PRKD2, PLPP3, NOTCH3, CUL7, DLX3, PDGFB, PDGFA, FOXO4, FOXO1, MTDH, PPP3R1, PDCD10, HMOX1, APOE, NKX2-5, WNT4, NUS1, JUN, JAG1, TIPARP, GLMN, FZD8, PARVA, SMAD5, SMARCA4, NFATC4, SMAD7, NR4A1, PTK7, FGFR2, FGFR1, ACVRL1, ITGB3, PDE3B, PTEN, CHM, HMGB1, CTSH, MYOCD, SPHK2, NCOA6, KIF7, SIRT1, TGFBR1, VAV2, DNM2, TNFRSF1A, RASA1, MYH9, ITGA5, MFGE8, HDAC5, LRP1, SEMA3C, ROCK1, NRXN1, LEF1, LRP5, PTN, HDAC7, WNT11, HES1, SASH1, JAM3, ZFP950, ANGPT1, WNT7B, C1GALT1, DAB2IP, VEGFC, SYNJ2BP, SULF1, COL3A1, PNPLA6, NAA15, MEGF8"	1746	641	18082	1.631794894	0.007164587	3.84E-05	3.63E-05	5.92601061
GOTERM_BP_ALL	GO:0043583~ear development	33	1.632855022	0.037723175	"GABRB3, SPARC, COL11A1, FOXG1, ECE1, GATA3, RBPJ, NTN1, HOXA13, GLI2, MYC, GSC, SIX2, DVL1, ZIC1, LRIG1, DVL3, HOXA1, HES1, OTX2, RAC1, MAPK3, FZD3, JAG1, SLC4A7, AHI1, PTK7, FAT4, ALG10B, FGFR3, FGFR2, FGFR1, PAFAH1B1"	1746	240	18082	1.423983391	1	0.348190999	0.32909916	1.482506858
GOTERM_BP_ALL	GO:0009790~embryo development	173	8.560118753	4.37E-09	"PGAP1, SCT, NRK, ZFAND5, RBPJ, HOXA13, NDST1, GJA1, FRAT1, PEG12, ZFP281, ZMIZ1, MYC, CHEK1, AKT1, HOXA1, PITX1, JUNB, CER1, SOX5, ZFP335, MBNL1, FBXW8, FOXH1, TPM1, TSC2, ACSL4, SOX11, SLC30A1, THOC2, VASH1, FOXP4, HSPG2, DISP1, SFRP1, COL4A2, ERF, FKBP8, KIF20B, HOXB8, PLPP3, SIDT2, KMT2D, DNMT1, DDX5, ANKRD11, FOXG1, CUL3, CHRD, PDGFB, TWIST1, PDGFA, PCDH12, GATA3, SLC9A1, MBTD1, BAG6, EFNB1, CCNB1, DEAF1, TTPA, DVL1, DVL3, OTX2, NKX2-5, SKIL, HOXC6, WNT4, VASP, ZBTB17, ZFP358, FZD3, ACD, POU2F1, FOXF2, INTS1, GLMN, SMARCA5, EIF2S2, SMAD5, SMARCA4, AHI1, EXT2, GJB3, PTK7, LHX2, GJB5, PLXNB2, ID3, SP8, GTF2IRD1, TCF3, FGFR2, FGFR1, CDKN1C, TOP2A, ACVRL1, ITGB5, ELL, TENM4, NCAPG2, ECE1, BRCA2, N4BP2L2, CDC73, GLI2, MED12, ZIC3, SIX2, ZIC1, UTY, RAC1, KDM6B, TEAD4, CCDC39, NCOA6, NCOA3, TFEB, NRG1, AXIN2, ZFX, EPN1, TGFBR1, NCOR2, MMP16, MMP15, RASA1, IMPAD1, G2E3, RARB, MYH9, ITGA5, DLD, SHANK3, MDFI, PAFAH1B1, CCDC40, CEBPB, SEMA3C, COL11A1, SATB2, LEF1, SRSF1, LRP5, SEMA3F, NTN1, STOX2, MAPK7, WNT11, TRA2B, GSC, GNA12, ATOH8, VPS52, LRIG1, HES1, PCNT, SH2B3, BUB1, MAPK3, BRD4, ARNT2, ANGPT1, TAF10, WNT7B, RPA1, VEGFC, SULF1, FRAS1, CR1L, MFAP2, MEGF8, LIMS1"	1746	1161	18082	1.543178304	3.72E-05	3.10E-07	2.93E-07	4.49E+00
GOTERM_BP_ALL	GO:0048568~embryonic organ development	71	3.513112321	6.77E-04	"CDKN1C, SCT, NRK, RBPJ, GLI2, MED12, NDST1, GJA1, ZIC3, MYC, SIX2, ZIC1, AKT1, HOXA1, UTY, RAC1, JUNB, CCDC39, FBXW8, NCOA6, NCOA3, FOXH1, TFEB, SOX11, VASH1, HSPG2, EPN1, TGFBR1, MMP16, ERF, RARB, HOXB8, MDFI, CCDC40, CEBPB, COL11A1, SATB2, FOXG1, LEF1, PDGFB, TWIST1, PDGFA, PCDH12, GATA3, NTN1, WNT11, TTPA, TRA2B, GSC, VPS52, DVL1, LRIG1, DVL3, HES1, OTX2, NKX2-5, PCNT, SH2B3, MAPK3, FZD3, FOXF2, WNT7B, SMARCA4, AHI1, PTK7, GJB5, MFAP2, ID3, MEGF8, FGFR2, FGFR1"	1746	494	18082	1.488447858	0.996862904	0.014019054	0.013250368	4.485878237
GOTERM_BP_ALL	GO:0030900~forebrain development	66	3.265710045	5.29E-05	"ALK, APP, CNTNAP2, PGAP1, SCT, LRRK2, PTEN, RBPJ, PPP1R9B, GLI2, NDST1, MYC, RAC1, PITX1, EPHB3, KDM6B, SZT2, ZFP335, SMARCC2, NRG1, POU3F2, POU3F3, GAK, NCOR2, CREB1, TAL2, RARB, SHANK3, PAFAH1B1, NOTCH3, CUL5, LRP1, UBA6, SATB2, FOXG1, LEF1, SLC1A2, CHRD, HTRA2, PTN, BHLHE22, TRA2B, GSC, HES1, OTX2, CCDC141, PCNT, WNT4, MBOAT7, WNT7B, NR2F1, DAB2IP, ATP2B4, XRCC1, HPRT, PEX13, SMARCA4, COL3A1, NIN, LHX2, FABP7, KRAS, FAT4, FGFR3, FGFR2, FGFR1"	1746	413	18082	1.654992803	0.362932065	0.001598632	0.001510976	4.433116073
GOTERM_BP_ALL	GO:0003007~heart morphogenesis	42	2.078179119	0.001144996	"ACVRL1, ATF2, SMARCD3, SEMA3C, COL11A1, TWIST1, GATA3, RBPJ, FGFRL1, GJA1, WNT11, ZMIZ1, ZIC3, DVL3, HES1, UTY, NKX2-5, EPHB4, DSP, CCDC39, JUN, JAG1, ANGPT1, FOXH1, TPM1, NRG1, SOX11, PARVA, AXIN2, TGFBR1, SMARCA4, SMAD7, NCOR2, AHI1, TNNT2, CPE, RARB, MDM4, FAT4, MEGF8, FGFR2, CCDC40"	1746	260	18082	1.672931536	0.999942208	0.0219638	0.020759492	1.754922961
GOTERM_BP_ALL	GO:0042692~muscle cell differentiation	57	2.820385948	0.00598567	"RB1, MEGF10, THRA, RBPJ, RBM4, LGALS1, CFL2, AKT1, QK, PITX1, KDM6B, MBNL1, MYOCD, CXADR, CHUK, IFRD1, TPM1, CACNA2D2, ANK2, NRG1, TNNT2, RARB, MYH9, ALPK3, ASF1A, HDAC5, SMARCD3, LEF1, PDGFB, TMTC3, PIK3R1, FOXO4, SLC9A1, CCNB1, LMNA, NTF3, ABL1, DMD, HES1, FLNC, NKX2-5, WNT4, RBM38, HOMER1, DMPK, WNT7B, GLMN, SORBS2, NFATC4, SMARCA4, EHD2, XK, ID3, KRAS, CALR, TCF3, FGFR2"	1746	414	18082	1.425859522	1	0.086700595	0.08194667	0.724403766
GOTERM_BP_ALL	GO:0030182~neuron differentiation	219	10.83621969	3.92E-14	"RB1, RPL4, APP, EHMT2, STMN2, RAPH1, RBPJ, SOX21, GOLGA2, PREX2, PREX1, GJA1, SYNGAP1, LGALS1, DPYSL4, STMN1, AKT1, HOXA1, QK, DLEU2, EPHB3, SOX5, EPHA7, SMARCC2, MAP1S, UNC5B, IFRD1, DAPK3, ACSL4, SOX11, RUNX3, UHMK1, TIAM1, SFRP1, FEZ1, ULK2, ULK1, KIF20B, ALG10B, GPM6A, UGT8A, FOXG1, PDGFB, GATA3, KALRN, SNX3, SPAST, MAP2, INPP5E, APOE, PIP5K1C, MAP4, NKX2-5, PROM1, VASP, FZD3, JUN, JAG1, PLK2, NR2F1, L1CAM, NFATC4, CCDC88A, PTK7, TDP2, MYO5B, ID3, CALR, FAT4, GABRB3, CDKN1C, ARF4, BARHL2, PIGT, TENM4, GLI2, TSPO, RAC1, GIT1, ZHX2, MINK1, GFRA1, SIRT1, GAK, VAMP7, CTTN, RARB, PAFAH1B1, NAPA, SATB2, PTN, ADCY6, NTF3, MICALL1, CTNNA1, DMD, CTNNA2, PAK3, MAP4K4, JAM3, FARP1, SF3A2, MBD1, WNT7B, DAB2IP, VAX1, XK, ABI2, KIF26B, MEGF8, SEMA5B, CTNND2, FMR1, CDH4, STK11, KIF5C, PALM, SZT2, ZFP335, MAP2K2, FBXW8, WNT5B, THOC2, TUG1, POU3F2, TLE6, UBE2V2, TNIK, PPIA, ANAPC2, NOTCH3, CUL7, BHLHB9, UBA6, SLC1A3, HTRA2, BHLHE22, NREP, EFNB1, DVL1, ABL1, DVL3, OTX2, NKX6-1, ECT2, SKIL, MARK2, WNT4, HPRT, BMP6, FBXO31, AHI1, LRFN4, BCL6, LHX2, COPS2, FEV, OGN, UST, PLXNB2, TCF3, FGFR3, FGFR2, EIF4G2, SDK2, PICALM, EIF4G1, FGFR1, RERE, ALK, CNTNAP2, ONECUT2, LRRK2, ELAVL4, PTEN, PPP1R9B, RPGR, EEF2K, CASP3, HMG20B, ZFP280D, ZFP280C, ACTR2, DCC, ETV1, NRG1, TGFBR1, DNM2, IMPACT, CREB1, CTDSP1, EVL, SHANK3, CAMK2B, HDAC5, CEBPB, LRP1, SEMA3C, NRXN1, LEF1, CRMP1, SEMA3F, NTN1, CYTH2, MAPK8, WNT11, PTPRZ1, SLITRK4, ERBB2, HES1, EIF4E, TMEM30A, LAMB2, SLC4A7, KLF7, NIN, SPRY3, ATXN10, CUL4B"	1746	1379	18082	1.644682511	3.34E-10	5.66E-12	5.35E-12	9.288598436
GOTERM_BP_ALL	GO:0010628~positive regulation of gene expression	248	12.27115289	1.34E-11	"RB1, APP, ATF2, MAML2, SERPINE1, CCNC, GABPB1, RBPJ, RPS6KA3, GJA1, ZFP281, ZMIZ1, ZXDB, CREB3L1, MYC, GPBP1, RPS6KA1, NAMPT, CREB3L2, CHEK1, AKT1, HOXA1, QK, LGALS9, JUNB, ZFP287, SOX5, SMARCC2, IFRD1, FOXH1, EBF1, RFX3, ANK2, SOX11, RUNX3, UHMK1, SFRP4, SFRP1, GUF1, PRKD2, MAML3, MAGED1, EIF5A2, PDGFB, TWIST1, PIK3R2, GATA3, PIK3R1, HNRNPLL, HELZ2, PPP3R1, PDCD10, HLTF, DHX36, NKX2-5, PPARGC1B, JUN, JAG1, FOXF2, ZFP516, NR2F1, SMARCA5, FZD8, NR1D2, ELL2, SMARCA4, NFATC4, MLLT11, CALR, ACVRL1, CDKN1C, TOP2A, ARF4, BARHL2, DAZAP1, ELL, HEXB, BRCA2, PTMS, GLI2, MED12, PPP3CB, MED13, SERP1, CTSH, JAK3, TRP53INP1, TEAD4, NCOA6, NCOA3, TFEB, SIRT1, SREBF2, SIRT2, NCOR2, TOX3, MTF2, RARB, NCOA7, ARHGEF2, RHOQ, SGMS1, SATB2, DOT1L, RELA, FSTL3, SERTAD1, PLAGL1, HSF2, LMNA, NTF3, MEF2D, BRD4, MAP3K2, ARNT2, NPM1, GSN, NFYB, PTGES3, NR1H2, WNT7B, DAB2IP, PSMC6, NR6A1, CENPK, LIMS1, ZFP326, CCNT2, GTF2B, FHOD1, FMR1, NUCKS1, UBE3A, HOXA13, YY1, CHCHD2, CDH3, PITX1, LMO1, CASR, ANKRD49, MAP2K2, THOC1, TSC2, VASH1, POU3F2, POU3F3, TBL1XR1, PHIP, KMT2D, NOTCH3, DNMT1, ENY2, DDX5, KHDRBS3, CBFB, FOXO4, FOXO1, SLC9A1, RAI1, SBNO2, CCNB1, DEAF1, DVL1, DVL3, OTX2, WNT4, BCL9L, ZBTB17, ZFHX3, POU2F1, HSPA4, SMAD9, GLMP, SMAD5, BMP6, NR4A1, AHI1, LHX2, FEV, ZFP64, NFE2L3, TCF3, EIF4G3, FGFR2, EIF4G2, PICALM, FGFR1, CALCOCO1, DDX3X, THRA, ONECUT2, ITGB3, HMGB1, CDC73, RBM4, ZIC3, SIX2, ZIC1, KDM6B, MYOCD, CHUK, ABHD14B, ETV1, NRG1, TGFBR1, TNFRSF1A, DNAJC3, IMPACT, CREB1, ELF4, SUPT5, MYH9, PPP1R15A, HDAC5, PRKAA1, CEBPB, GTF2A2, ZFP423, SMARCD3, SRSF1, CEBPG, LEF1, LRP5, FOXK1, IFT74, MAPK8, MAPK7, WNT11, TRA2B, ERBB2, TRA2A, ATOH8, HES1, MAPK3, SPEN, CNBP, FOXJ1, ARID3A, ARID3B, MEIS2, KLF7, RPS6KB1, KRAS, NAA15, RBMX, SSBP4, MBTPS2"	1746	1708	18082	1.503716759	1.14E-07	1.36E-09	1.29E-09	11.13007471
GOTERM_BP_ALL	GO:0012501~programmed cell death	240	11.87530925	1.90E-06	"RB1, APP, ATF2, TRAF3IP2, SCT, SERPINE1, RBPJ, NOC2L, RPS6KA3, GJA1, SYNGAP1, LGALS1, PPP2R1B, CREB3L1, MYC, RPS6KA1, CHEK1, AKT1, QK, EPHA7, CSNK2A1, MAP1S, UNC5B, DAPK3, ANK2, RUNX3, TIAM1, SFRP4, SFRP1, CFDP1, BEX3, URI1, MAGED1, TWIST1, GATA3, PIK3R1, MTDH, NUAK2, PDCD10, PRAMEF12, MICAL1, FIGNL1, HMOX1, TRPM7, APOE, NKX2-5, STX4A, PEA15A, BARD1, TRAP1, FZD3, JUN, PRELID1, DMPK, INTS1, DDIAS, PLK2, RMDN3, SMARCA4, NFATC4, MLLT11, NDUFAF4, WNK3, ID3, GABRB3, TOP2A, ARF4, PIGT, FMN2, IER3IP1, BRCA2, SH3RF1, EDA2R, GLI2, FASTK, RFK, TRIM2, CTSH, TIMP3, TSPO, JAK3, RNF152, TRP53INP1, HELLS, SPHK2, NCOA3, NME4, SIRT1, SIRT2, DDB1, ITPKB, TOX3, CTTN, G2E3, RARB, KANK2, SGMS1, PRUNE2, XIAP, RPS27L, PTN, RELA, PPP2CA, PURB, LMNA, NTF3, CTNNA1, HS1BP3, PAK3, PCNT, MEF2D, MAP4K4, ARNT2, NPM1, GSN, WNT7B, DAB2IP, SULF1, TAOK1, STK17B, PKN1, TARDBP, YPEL3, GRINA, LIMS1, 4930453N24RIK, NDUFA13, RTKN, ZFAND6, UBE2D3, CAAP1, HOXA13, STK11, ADORA1, PIM3, PHLDA3, TGM2, BNIP3L, CASR, THOC1, TICAM1, ATAD3A, POU3F3, FKBP8, UBE2V2, PHIP, SRSF6, DDX5, CUL7, BHLHB9, USP53, CUL3, HTRA2, FOXO1, SLC9A1, BAG6, BAG4, BAG3, ZMAT4, ABL1, NAE1, ECT2, SKIL, WNT4, TIA1, API5, HSPA4, TNFRSF9, IGF2R, BMP6, GULP1, NR4A1, AHI1, BCL6, DLG5, STK26, CYCT, MDM4, GCLM, FGFR3, FGFR2, MYD88, FGFR1, DDX3X, MEGF10, THRA, LRRK2, TRADD, PTEN, ECE1, CDC73, PIDD1, EEF2K, ALDH2, CASP3, MYO18A, DNM1L, MYOCD, DCC, TGFBR1, TNFRSF1A, DNAJC3, ARHGAP10, CREB1, IRF3, RASA1, C1D, ITGA5, ITGB3BP, CAMK2B, PPP1R15A, PRKAA1, CEBPB, LRP1, ROCK1, LEF1, LRP5, NTN1, UACA, MAPK8, MAPK7, WNT11, ERBB2, FNIP1, SMNDC1, BUB1, MAPK3, ANGPT1, TAF10, MEIS3, USP28, SLC4A7, DNAJA1, GOLPH3, RPS6KB1, KRAS, CD248, NAA15, LTBR, TPT1"	1746	1870	18082	1.329143466	0.016025789	8.04E-05	7.60E-05	5.100567194
