ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,MD9-R-EB,MD10-R-EB,MD11-R-EB,MD12-R-EB
0610010F05Rik,927.9547789,1.187600526,0.159968835,7.423949328,1.14E-13,3.11E-11,582.3598019,549.9972455,1255.705443,1323.756625
1700003E16Rik,116.9723224,-1.176683664,0.378289567,-3.110536919,0.001867475,0.019329482,163.0607445,161.4122351,83.3866896,60.0296202
1700012D14Rik,103.7760786,1.33018291,0.377513234,3.523539818,0.000425823,0.006517474,53.38298184,64.76416841,152.058081,144.8990832
1700019D03Rik,544.3847247,1.405320626,0.361935532,3.882792661,0.000103264,0.002220095,226.1497231,370.6503177,596.4600856,984.2787726
2300009A05Rik,93.21235832,1.131485383,0.402320447,2.812398408,0.004917355,0.038494123,66.00077755,50.8149629,124.5895245,131.4441684
2610044O15Rik8,765.5335334,1.119116773,0.180831774,6.188717563,6.07E-10,6.70E-08,456.1818448,509.1460009,998.6782355,1098.128052
2900060N12Rik,72.03780274,1.240159254,0.457974961,2.707919342,0.006770648,0.047416973,35.91218779,49.81859108,102.0260673,100.3943648
3830417A13Rik,117.7786598,-2.866612909,0.492463807,-5.820961593,5.85E-09,5.12E-07,236.8263194,177.3541843,18.63937768,38.29475771
4930447C04Rik,364.7710334,2.356642135,0.381893634,6.170938516,6.79E-10,7.38E-08,104.8247643,133.5138241,423.8005872,796.9449578
4930522L14Rik,211.218312,1.156366854,0.30069261,3.845677659,0.00012022,0.002507997,129.0897561,132.5174523,253.1031284,330.1629111
5330434G04Rik,34.86967712,2.867489185,0.836002394,3.430001163,0.000603579,0.008430153,3.882398679,12.95283368,47.08895413,75.55452198
5430403G16Rik,211.8021313,1.379782077,0.291649865,4.73095394,2.23E-06,9.48E-05,111.618962,123.5501059,275.6665856,336.3728718
6330403L08Rik,96.00683419,-1.37876638,0.383826196,-3.592163311,0.000327944,0.00531284,134.9133541,142.4811705,55.91813303,50.71467914
6720427I07Rik,980.129943,1.301054568,0.169307358,7.684571899,1.54E-14,4.94E-12,526.0650211,605.7940676,1403.839445,1384.821238
6720489N17Rik,293.0555398,1.698074155,0.247939286,6.848749879,7.45E-12,1.34E-09,143.6487511,132.5174523,474.8136208,421.2423349
9330162G02Rik,1017.399572,1.333474706,0.193238356,6.900672986,5.18E-12,9.57E-10,585.2716009,570.9210538,1619.663818,1293.741815
A530016L24Rik,37.37926403,-2.614586703,0.730632665,-3.578524241,0.00034554,0.005530818,72.79497524,55.79682201,14.71529817,6.20996071
A830018L16Rik,198.5982729,1.935824771,0.411421637,4.705208959,2.54E-06,0.000105233,66.97137722,97.64443852,235.4447706,394.3325051
