"","MD-R-EB-10","MD-R-EB-11","MD-R-EB-12","MD-R-EB-9"
"4933401J01Rik",0,0,0,0
"Gm26206",0,0,0,0
"Xkr4",4.1545,4.596,7.3976,8.3794
"Gm18956",0,0,0.2646,0
"Gm37180",0.5283,0.2096,0.4955,0.8255
"Gm37363",0.2565,0.1058,0.3412,1.0421
"Gm37686",0.1488,0.1535,0.33,0.3359
"Gm1992",0,0,0,0
"Gm37329",0.2785,0.1149,0.5556,0.817
"Gm7341",0.7423,0.3829,0.4114,0.4188
"Gm38148",0.2282,0.5493,0.5902,0.8155
"Gm19938",0.7382,0.689,1.3248,2.142
"Gm10568",0,0.0723,0,0
"Gm38385",0,0,0,0
"Gm27396",0,0,0,0
"Gm37381",0.084,0,0,0
"Rp1",0,0.0192,0.0309,0
"Gm6101",0,0,0,0
"Gm37483",0,0,0,0
"Sox17",52.3583,24.9383,44.4671,16.4439
"Gm37587",0.4713,0.1215,0.653,0.133
"Gm7357",0.4596,0.079,0.4246,0.2161
"Gm22307",2.1413,0,1.1868,0
"Gm38076",0,0,0,0
"Gm37323",0,0.0426,0.0916,0.0932
"Gm7369",0,0.1263,0,0.1381
"Gm6085",0.8572,1.1255,0.6047,0.6156
"Gm6119",0.19,0.196,0.1053,0.6432
"Gm25493",4.4489,1.1474,4.9316,1.2551
"Gm2053",0.7262,0.3746,1.2075,0
"Gm6123",1.929,1.6583,2.9698,2.6605
"Mrpl15",33.3405,39.0864,39.3667,43.7317
"Gm37144",5.3793,6.5769,7.5089,8.9931
"Lypla1",18.7431,20.675,37.3055,52.9407
"Gm37988",0.2777,0,0.4618,0.4701
"Tcea1",32.1616,37.7606,48.6991,52.2331
"Gm6104",2.6597,2.5478,2.3165,2.5727
"Gm37277",2.4747,1.0637,1.143,2.0945
"Rgs20",1.4053,2.5648,3.2354,4.666
"Gm17100",0.4212,0.4345,0.9337,1.9011
"Gm37079",0.0537,0,0.0595,0.1817
"Gm16041",0.369,0.1269,0.4091,0.6594
"Gm17101",0,0,0,0
"Atp6v1h",17.62,17.0004,19.1277,20.109
"Gm7182",0,0,0,0
"Gm37567",0.5529,0.363,0.5015,0.3403
"Gm38264",0.0564,0,0,0
"Oprk1",0.7136,0.5037,0.6522,0.6216
"Gm36965",0,0,0,0
"Gm22463",0,0,0,0
"Gm37429",0,0,0,0
"Npbwr1",0.2793,0.2561,0.1376,0.035
"Gm19214",0,0,0,0
"Rb1cc1",16.4001,15.261,21.6977,21.103
"4732440D04Rik",2.005,2.1119,3.9304,3.5248
"Alkal1",0,0.1217,0,0.1331
"Gm2147",0,0,0,0
"Gm7417",0,0.2498,0,0.2733
"Gm19026",0.0253,0.0783,0.028,0.1142
"St18",0.0532,0.0366,0.0393,0.08
"Gm42492",0,0,0,0
"Gm7449",0.1728,0.1782,0,0
"Gm37108",0.915,0.5663,1.0143,1.4456
"Gm37275",0,0,0,0
"Gm37225",0,0,0,0
"Gm37489",0,0,0,1.6261
"Gm5694",0,0.1844,0,0.2017
"Pcmtd1",19.2654,23.6214,33.4169,30.9493
"Gm26983",3.2478,1.2183,3.2729,4.6646
"Gm38372",5.3469,5.6331,11.8854,12.5168
"Gm9826",0.441,0.091,0.0978,0.3981
"Nras-ps2",0,0,0,0
"Gm23274",0,0,0,0
"Gm19002",0,0,0,0
"Gm26901",1.1353,1.3346,1.4048,1.7578
"Gm18984",0,0,0,0
"Gm30414",0.2206,0.1821,0.587,0.4482
"Gm37791",0,0,0,0
"Gm7470",0,0,0,0
"Rps2-ps2",0,0,0,0
"Gm38216",0,0,0,0
"Sntg1",0.1155,0.1733,0.1397,0.3555
"Gm38024",0,0,0,0.0511
"Gm16284",1.432,0.2954,0,0
"Gm38259",0,0,0,0
"Gm23358",0,0,0,0
"Gm37005",0,0,0,0
"Gm15452",5.728,4.4317,3.7038,8.0797
"Gm36964",9.2573,7.7592,10.903,11.7523
"Gm24276",0,1.0743,1.1544,2.3505
"Gm6152",0,0,0,0
"Gm7445",0,0,0,0
"Gm7493",0,0,0,0
"Gm37629",0,0,0,0
"Gm38008",0,0,0,0
"Gm37143",0,0,0.039,0.0397
"Gm6187",0,0.2462,0.3968,0.2693
"Gm18299",0,0,0,0
"Gm7512",0,0,0,0
"Gm24765",0,0,0,0
"Gm18300",0.0815,0.0841,0.0903,0.1839
"Rrs1",136.095,156.5514,129.7783,138.3655
"Adhfe1",0.8789,0.8754,1.6461,1.4364
"2610203C22Rik",0.1167,0.0722,0.1552,0.1843
"Gm6161",0,0,0,0.2346
"Vxn",0.0352,0.0726,0.078,0
"Gm29520",0,0,0,0
"Mybl1",10.9003,13.6073,21.9326,14.3108
"Vcpip1",23.5487,23.3956,33.1114,30.5785
"1700034P13Rik",0.0369,0.1905,0.2048,0.2918
"Sgk3",5.5555,5.7309,7.4981,4.5799
"Gm6195",0.3209,1.3241,1.4228,1.0864
"Gm22607",0,0,0,0
"Mcmdc2",3.4662,3.3759,6.783,8.1945
"Snhg6",118.3578,121.5811,148.1527,140.3308
"Snord87",17.118,13.5837,71.522,86.1839
"Tcf24",0.683,1.1274,1.6657,1.5107
"E330040D14Rik",0,0.172,0.0924,0
"Ppp1r42",0,0,0.1668,0
"Gm15818",0,0,0,0
"Gm24674",1.1015,0,0,0
"Cops5",86.2084,81.5887,100.2146,92.8891
"Cspp1",16.7208,16.5758,21.2479,19.679
"1700047N06Rik",0.9962,1.5415,2.0705,4.356
"Arfgef1",55.4981,49.629,67.0507,55.5459
"Gm26348",2.864,4.4317,5.2912,4.8478
"Gm37569",1.5966,0.8922,2.8023,1.2012
"Cpa6",0.335,0.1209,0.2414,0
"Gm38005",0.0417,0.0861,0.0463,0
"Gm15604",0.3147,0.2435,0.3489,0.3552
"Gm25253",0,0,0,0
"Gm15603",0,0,0.5162,0.2628
"Gm37133",0,0.0615,0,0.1345
"Gm5522",0.0922,0.0952,0.1022,0.2082
"Gm28659",0.1509,0.3114,0.1673,0.3406
"Gm22963",0,0,0,0
"Prex2",1.3933,2.3907,3.8076,7.1063
"Gm24173",0,1.8465,0.9921,1.01
"Gm28686",0.3762,0.1941,1.2511,1.9105
"Gm37410",0,0,0,0.0425
"A830018L16Rik",0.8608,1.2612,3.3189,5.3636
"Gm38178",0.1391,0.3826,1.3362,2.3543
"Gm29273",0,0,0.4847,0
"Gm38069",0,0,0.1185,0.1809
"Gm7560",0,0.2707,0,0.1481
"Gm22633",0,0,0,0
"Mir6341",0,0,0,0
"Gm2383",0.5678,1.4644,0.6294,0.801
"Gm6216",0.1668,0,0.1848,0.1882
"Gm17644",0,0.0739,0,0.0404
"Gm29663",0,0,0.1489,0
"Sulf1",40.8981,47.2964,63.7639,60.5401
"Slco5a1",5.2322,7.6824,8.7578,6.4554
"Gm37162",0,0,0,0
"Gm5250",0,0.3682,0,0
"Gm29283",0.3978,0.4103,0.4409,0.4489
"Prdm14",2.1893,4.5169,4.2098,6.7562
"Ncoa2",28.8925,25.884,25.922,23.8435
"Gm38376",3.0508,2.4129,3.5509,2.123
"Gm37409",1.1977,1.4536,1.3277,1.1131
"Gm27881",1.3971,5.7648,1.5486,3.1531
"Gm38223",0.1648,0.5101,0.3654,0.744
"Gm37702",1.8359,1.0101,1.4245,0.6215
"Gm23169",0,0,3.4015,2.3085
"Gm38120",1.5794,1.4257,1.4225,1.2254
"Gm38380",2.4461,2.1028,3.1069,1.8402
"Gm29570",0.1682,0.5206,0.3729,0.5695
"Gm7593",2.3125,3.4866,0.9859,0.803
"Tram1",101.9512,99.8272,161.4458,164.2727
"Lactb2",27.4982,31.1104,38.5748,35.7306
"Gm38319",2.7147,3.3605,3.8116,3.1655
"Xkr9",0,0,0,0
"Gm26273",0,0,0,0
"Gm5523",2.1832,2.4892,4.5853,2.2043
"Gm36947",0,0,0.0565,0
"Gm25491",0,0,0,0
"Gm37400",0,0,0,0
"Eya1",4.9151,3.4509,4.4888,3.6094
"Gm22616",0,2.3636,0,0
"Gm37444",0,0,0.8678,0.2945
"Gm9947",0.0643,0.1657,0.0712,0.2175
"Msc",0.8099,1.7174,0.6484,1.6756
"Gm37412",0.0795,0.0273,0,0.1496
"Smt3h2-ps4",0,0,0,0
"Rpl5-ps1",3.7161,3.5691,4.4034,5.4949
"Trpa1",0.215,0.6099,1.4001,2.0318
