"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"0610005C13Rik",13.6168536735588,21.449220785056,26.8110649231629,25.6531273155312,7.91068935587872,6.45172799863017,5.28523278216924,6.69322277218012,9.26692252579959,1.77698550937209,7.99388063287784,1.73768243048596
"0610007P14Rik",940.697641281686,720.498825461654,885.882270169507,838.002158974019,1083.76444175538,1062.92218777432,1111.66062851626,981.672673253085,1002.68101729152,1110.61594335756,719.449256959006,825.399154480832
"0610009B22Rik",611.623677504016,569.379315385123,580.906406668529,621.375750531755,389.996985244821,385.490747918153,365.561934100039,359.946646859464,362.336670758764,394.490783080605,265.574478803386,264.996570649109
"0610009L18Rik",13.6168536735588,9.74964581138909,14.5226601667132,11.4013899180139,10.2838961626423,11.2905239976028,16.7365704768692,17.848594059147,16.6804605464393,18.658347848407,24.8698508578422,19.9833479505886
"0610009O20Rik",1024.6682389353,995.438837342826,980.838125105709,952.016058154157,1008.61289287454,975.823859792814,1060.57004495529,1070.91564354882,1118.51754886401,1162.14852312935,1350.07761799715,1388.40826195828
"0610010B08Rik",55.602152500365,47.7732644758065,44.6851082052715,39.9048647130485,29.2695506167512,33.8715719928084,26.4261639108462,26.0291996695894,30.5808443351387,30.2087536593256,8.88208959208649,15.6391418743737
"0610010F05Rik",1218.70840378351,959.365147840686,909.341951977275,882.182544906323,1156.54278382947,1254.86109573357,907.298294272386,907.303531339972,1158.36531572495,1095.5115665279,465.421494625332,506.534428486658
"0610010K14Rik",803.394366739968,866.74351263249,675.862261604731,696.909958738597,736.485179032308,848.402231819868,755.788287850201,734.767122101551,924.838868074799,952.464233023443,730.995973428718,612.533056746302
"0610012G03Rik",356.307671124788,466.033069784398,412.220123193629,423.276600706265,318.009712106324,264.520847943837,332.0887931463,324.24945874117,414.231436903242,521.54524700071,554.242390546197,715.056320144974
"0610030E20Rik",701.267964188277,587.903642426762,723.898752925398,756.76725580817,729.365558612018,569.364995879113,793.665789455747,715.431145204142,915.571945549,960.460667815617,1103.15552733714,1002.6427623904
"0610037L13Rik",426.661415104842,451.408601067315,443.49969893732,438.953511843534,350.443538465427,353.232107925002,361.157573448231,374.076783822956,366.970132021664,398.933246854035,411.240748113605,408.355371164201
"0610038B21Rik",2.2694756122598,1.94992916227782,4.46851082052715,0,4.74641361352723,3.22586399931509,3.52348852144616,4.46214851478675,6.48684576805971,6.21944928280233,16.8759702249643,9.55725336767279
