"","MD1-R-EB","MD2-R-EB","MD3-R-EB","MD4-R-EB","MD5-R-EB","MD6-R-EB","MD7-R-EB","MD8-R-EB","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"0610005C13Rik",12,22,24,18,10,4,6,9,10,2,9,2
"0610007P14Rik",829,739,793,588,1370,659,1262,1320,1082,1250,810,950
"0610009B22Rik",539,584,520,436,493,239,415,484,391,444,299,305
"0610009L18Rik",12,10,13,8,13,7,19,24,18,21,28,23
"0610009O20Rik",903,1021,878,668,1275,605,1204,1440,1207,1308,1520,1598
"0610010B08Rik",49,49,40,28,37,21,30,35,33,34,10,18
"0610010F05Rik",1074,984,814,619,1462,778,1030,1220,1250,1233,524,583
"0610010K14Rik",708,889,605,489,931,526,858,988,998,1072,823,705
"0610012G03Rik",314,478,369,297,402,164,377,436,447,587,624,823
"0610030E20Rik",618,603,648,531,922,353,901,962,988,1081,1242,1154
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0
"0610037L13Rik",376,463,397,308,443,219,410,503,396,449,463,470
"0610038B21Rik",2,2,4,0,6,2,4,6,7,7,19,11
"0610039H22Rik",4,0,5,1,1,1,1,1,0,0,1,0
"0610039K10Rik",6,12,10,7,5,8,9,9,9,4,2,5
"0610040B10Rik",8,15,11,4,11,4,10,8,11,18,13,21
"0610040F04Rik",89,81,67,39,19,2,11,18,11,14,8,10
"0610040J01Rik",12,9,11,2,34,21,34,41,13,12,21,6
"0610043K17Rik",12,15,16,10,19,5,10,17,7,4,11,6
"1010001N08Rik",1,1,0,0,1,0,0,1,11,38,76,108
"1110002J07Rik",203,248,107,103,46,44,114,230,47,57,70,68
"1110002L01Rik",1323,1470,1351,990,914,471,794,909,1012,1097,961,804
"1110004E09Rik",630,789,685,518,690,351,654,743,611,651,642,555
"1110004F10Rik",2165,2433,2179,1718,3108,1526,2570,3001,2554,2678,2462,2460
"1110006O24Rik",10,14,12,15,17,10,7,23,29,23,24,32
"1110008F13Rik",1435,1467,1310,1111,1831,913,1733,1833,1584,1486,1612,1877
"1110008L16Rik",1300,1590,1237,962,1309,707,1168,1336,995,928,954,920
"1110008P14Rik",193,232,191,144,211,102,261,277,188,136,209,173
"1110012L19Rik",249,256,227,184,303,174,288,303,305,434,585,636
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1110017D15Rik",0,0,1,0,2,0,1,1,8,9,1,4
"1110019D14Rik",115,141,128,92,136,62,112,128,129,100,85,85
"1110020A21Rik",4,6,5,6,12,4,15,10,14,10,12,13
"1110025L11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1110028F11Rik",3,0,0,1,2,2,2,1,0,8,1,6
"1110028F18Rik",0,0,0,0,0,1,0,0,0,0,1,0
"1110032A03Rik",59,35,49,43,81,36,84,97,129,145,208,221
"1110032F04Rik",12,11,13,9,43,32,39,54,29,40,37,50
"1110034G24Rik",92,122,77,73,80,61,86,120,95,100,110,124
"1110036E04Rik",1,0,1,1,1,0,2,2,1,1,2,2
"1110037F02Rik",3086,3297,2832,2325,4052,1978,3393,4059,3022,3165,3176,3340
"1110038B12Rik",1110,1706,1441,1166,2837,1223,2356,2839,1907,2041,2006,1937
"1110038F14Rik",323,414,368,341,579,275,469,582,506,460,577,619
"1110046J04Rik",3,2,4,4,3,1,1,3,1,9,14,14
"1110051M20Rik",165,193,177,126,165,95,165,190,308,347,307,443
"1110058D11Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1110059E24Rik",689,840,707,497,1007,560,780,873,826,914,597,666
"1110059G10Rik",282,259,215,196,250,158,210,257,248,280,160,145
"1110065P20Rik",85,120,107,105,220,102,169,230,182,229,209,256
"1190002N15Rik",1421,1224,1048,791,1414,791,1201,1294,1206,1337,691,746
"1190003K10Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1190005I06Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1190007I07Rik",142,223,158,133,192,102,198,260,229,219,229,208
"1300002E11Rik",145,169,135,119,219,82,160,228,181,173,128,99
"1300017J02Rik",9,12,9,6,1,2,2,1,4,1,4,3
"1500004A13Rik",16,30,38,22,111,42,78,88,92,38,42,25
"1500009C09Rik",11,14,10,2,0,0,1,1,1,0,1,1
"1500009L16Rik",269,408,358,277,370,171,375,470,307,231,239,146
"1500011B03Rik",210,236,199,184,335,147,302,334,316,342,315,321
"1500011K16Rik",181,208,190,153,85,40,88,107,81,76,93,80
"1500012K07Rik",0,0,0,1,0,0,0,0,0,0,0,0
"1500015A07Rik",185,162,172,115,209,76,193,195,212,275,213,233
"1500015L24Rik",0,0,1,0,0,0,0,0,0,0,0,1
"1500015O10Rik",0,5,4,1,7,1,6,4,0,1,0,0
"1500017E21Rik",0,1,0,0,0,0,0,0,0,0,0,0
"1500026H17Rik",0,1,0,1,2,0,5,1,6,7,2,6
"1600002D24Rik",0,0,1,0,0,0,0,0,2,0,1,0
"1600002H07Rik",446,532,453,349,624,311,622,769,560,638,799,747
"1600002K03Rik",33,58,44,33,107,44,88,100,58,40,50,57
"1600010M07Rik",0,1,3,0,0,0,0,1,0,0,0,0
"1600012H06Rik",432,476,524,415,550,264,528,534,546,607,561,599
"1600014C10Rik",111,133,113,102,224,102,215,232,201,183,179,197
"1600014C23Rik",6,10,7,3,1,1,1,2,4,5,5,11
"1600015I10Rik",0,0,0,0,0,0,0,0,2,0,41,9
"1600019K03Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1600020E01Rik",139,153,151,117,164,69,169,197,153,177,149,176
"1600023N17Rik",10,8,11,5,23,8,12,15,16,30,10,23
"1600025M17Rik",0,0,0,0,0,0,0,0,0,0,1,3
"1600027J07Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1600029I14Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1600029O15Rik",2,3,8,5,10,2,4,3,3,4,7,7
"1700001C02Rik",0,1,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",4,5,1,2,11,2,4,7,11,15,6,11
"1700001D01Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700001G01Rik",0,0,0,0,0,0,1,0,0,0,0,1
"1700001G11Rik",8,13,9,6,3,1,7,8,8,8,13,10
"1700001G17Rik",1,3,2,1,6,1,2,3,20,11,10,16
"1700001J03Rik",1,2,1,0,0,0,1,0,2,0,1,0
"1700001J11Rik",6,4,2,5,15,9,12,10,14,15,10,10
"1700001K19Rik",1,0,0,3,1,0,0,6,0,1,1,0
"1700001K23Rik",0,1,0,0,0,0,0,0,1,1,0,0
"1700001L05Rik",1859,1833,1600,1163,274,144,353,364,300,253,262,177
"1700001L19Rik",3,4,2,2,2,0,2,2,2,4,4,2
"1700001O22Rik",21,28,20,23,27,19,37,33,31,36,40,38
"1700001P01Rik",5,16,21,11,9,15,19,15,7,11,8,5
"1700003C15Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700003D09Rik",2,0,0,0,0,0,0,0,0,3,0,0
"1700003E16Rik",1,3,7,5,5,0,2,2,7,10,8,8
"1700003E24Rik",0,0,0,0,0,0,0,0,0,0,0,0
"1700003F12Rik",2,4,7,6,15,5,8,21,27,57,27,23
"1700003G13Rik",0,0,0,1,0,0,0,0,0,0,0,0
"1700003G18Rik",1,3,5,1,4,1,1,1,4,0,1,0
