"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Snhg14",2380.76781849453,-3.81062275244636,0.155166253955113,-24.558321512026,3.52452706468222e-133,5.25542230614766e-129
"Hnrnpa3",8904.43032971792,-1.63968526797665,0.0949418751364809,-17.2704116662913,7.85798754004539e-67,5.85852261048084e-63
"Tmem47",2281.55925293705,-2.0560257192898,0.128713323085691,-15.9736822109782,1.94930577742294e-57,9.6886994823845e-54
"Gm17066",1427.69203914111,-2.51153258454555,0.159138292241376,-15.7820757604721,4.13367151754691e-56,1.54092939995355e-52
"Zfp758",383.506025607873,-2.88848807140747,0.189209935795111,-15.2660485786292,1.28741555770021e-52,3.83933067617357e-49
"Naa50",8319.72459677498,-1.1321747482707,0.0753086865455144,-15.0337869401884,4.41053850644618e-51,1.09609232782698e-47
"Ube2v2",2103.39280430854,-1.39585987047704,0.0947920877519631,-14.725489263719,4.42257242680997e-49,9.42071106516621e-46
"Vbp1",3173.96508648951,-1.67987216025039,0.115925478165179,-14.490965979513,1.38185710335995e-47,2.57560890852503e-44
"Zfp942",874.102979056999,-2.12767187647709,0.149377385585497,-14.2436009850989,4.91288307852643e-46,8.13955550932306e-43
"Depdc1a",1373.43662448048,-1.7170069179972,0.120874995582706,-14.2048147321121,8.55285501564765e-46,1.27531621138322e-42
"Zfp934",527.906167996515,-2.85914404534403,0.207061228424694,-13.808205751971,2.27425803583858e-43,3.08286014294446e-40
"Aasdhppt",1942.02991289988,-1.11805542878637,0.0844093262344796,-13.2456385883301,4.78196963365278e-40,5.94199576728304e-37
"Xpo1",23212.5138150804,-1.1297949535467,0.0853573620159152,-13.2360575217407,5.43266353820891e-40,6.23126507832562e-37
"Trove2",2059.57489693421,-1.20791158016137,0.0923272344612654,-13.0829390397059,4.12189040825588e-39,4.39010770553595e-36
"Arxes2",305.222445100831,-2.72762095778697,0.208597218096098,-13.0760179003461,4.51479569494352e-39,4.48800790715352e-36
"Ap1s2",585.602979274593,-1.80876029218176,0.138895104241552,-13.0224913401998,9.11477495893105e-39,8.49440058828881e-36
"G2e3",5727.94670064947,-1.58147165348258,0.122696464787504,-12.8893008956819,5.17104386107467e-38,4.28363527847136e-35
"Rnf138",1962.02876837225,-1.62500611252937,0.12604733194505,-12.8920310129039,4.99117938611978e-38,4.28363527847136e-35
"Zfp808",2129.6335029416,-2.29892638116922,0.180138254874341,-12.7620109497168,2.67212513828995e-37,2.09705568089692e-34
"Psd2",136.338855530961,4.12478757189068,0.33263944599731,12.4001756902999,2.60751255315915e-35,1.9440309840078e-32
"Sh3bgrl",1213.51009667397,-1.6921274938167,0.137692123302002,-12.2892105462367,1.03511957617155e-34,7.34984190490187e-32
"Zfp945",1312.31151447859,-1.38711577879311,0.113042824662945,-12.2707105287665,1.30106558491863e-34,8.81826769850988e-32
"Ptges3",21344.8207498568,-0.842448500736706,0.069264733506127,-12.1627335888354,4.90881085522674e-34,3.18240342009939e-31
"Nrk",723.240910104134,1.7251445282448,0.143593594199469,12.0140772146728,2.9969643756875e-33,1.86198899191151e-30
"Purb",4526.3889742137,-0.766011367110908,0.0644831082369253,-11.8792562588083,1.51711167430748e-32,9.04866087023955e-30
"Zfp994",797.177241235353,-1.742780155493,0.148337454905708,-11.748753250491,7.16684221027842e-32,4.11018400759467e-29
"Orc4",1855.43485688635,-1.23829629329121,0.105587748262301,-11.7276513011247,9.19754510131909e-32,5.07942944465811e-29
"Scoc",1306.47935172634,-1.30004344506871,0.111101120618266,-11.7014431342737,1.2530418594595e-31,6.44279557462092e-29
"Srsf10",9288.70143911601,-0.885142079570684,0.075626277674775,-11.7041603366646,1.21354556159298e-31,6.44279557462092e-29
"Zfp820",562.358385928202,-1.99998803518862,0.171644782208481,-11.6519011498958,2.24396040881055e-31,1.11532312185914e-28
"Selenot",4073.83697853267,-0.954140075017363,0.082258608844769,-11.5992731753819,4.15592791355897e-31,1.99900132642186e-28
"Ppp4r3b",3084.33318125452,-0.875088315016874,0.0766631507598407,-11.4147188883252,3.5304355863732e-30,1.64507265713784e-27
"Trim59",5519.63143130217,-1.1787099557174,0.103348518938246,-11.4051944607132,3.93896088989778e-30,1.77981350997775e-27
"LOC101056073",3264.415513522,-2.3532365543508,0.206882291484214,-11.3747606789746,5.58558592583053e-30,2.44960799235468e-27
"Zfp944",598.195245050385,-1.84056668113783,0.165928209658546,-11.0925483070385,1.36347344992014e-28,5.80878646050262e-26
"Gm10033",482.729417607013,-1.77700929275097,0.160375815718914,-11.0802821783647,1.56378934863014e-28,6.47712860484002e-26
"Cxxc5",1243.49204586262,-2.11406182605044,0.193145728918353,-10.9454236336963,6.9890237274615e-28,2.81657656216698e-25
"Ppp1cb",10329.4435077116,-1.21387247562671,0.111340503424933,-10.9023440552802,1.12325669630378e-27,4.40760015752253e-25
"Tmed7",2571.57500691434,-0.989483247451318,0.0924176106586373,-10.7066525567964,9.47252392150071e-27,3.62166164598711e-24
"Serp1",2771.18923348399,-0.944804185958989,0.0888054391876894,-10.6390351154297,1.96150007881097e-26,7.31198191878761e-24
"Gm14295",716.402200272055,-2.17193119495489,0.204530234399045,-10.6191204510008,2.42838361795373e-26,8.8316166164166e-24
"Arhgap5",6320.83182998807,-1.27117177030018,0.120133731070151,-10.5813060077014,3.6385072827459e-26,1.29175671650057e-23
"Idi1",4649.0676377704,-0.867837737727649,0.0829340342283023,-10.4641929673727,1.26146874147704e-25,4.37436288468932e-23
"Dsel",564.84055910949,-1.59372362954579,0.153515853050379,-10.3814921904044,3.01032703438305e-25,1.02015878203831e-22
"Eif5a2",887.700011718216,-1.24260140290953,0.119974771820922,-10.3571891327643,3.88202704927316e-25,1.2863312295936e-22
"Ndufaf4",1024.22513636495,-1.29937549379386,0.125587782769522,-10.3463526876533,4.3473305341688e-25,1.40919664336937e-22
"Gm20939",904.972445814204,-2.02855301598661,0.19645319433876,-10.3258846098914,5.38203883863968e-25,1.7074804494246e-22
"Actr2",10199.6205807051,-0.590089587067577,0.0574906088582166,-10.2641039777967,1.02265914646108e-24,3.17684802768356e-22
"Zfp984",1365.61922122666,-1.5207647614056,0.148628578434248,-10.2319808036001,1.42572923421981e-24,4.33858134927583e-22
"Phf6",2744.22360940906,-0.900213950518144,0.088132354234596,-10.2143413543896,1.7103674924893e-24,5.1006579361016e-22
"Ap1s3",1122.23210388213,-0.969865168651478,0.0953225795486231,-10.1745585699006,2.57565157284601e-24,7.5304981573935e-22
"Nucks1",21356.9555159507,-0.842783528123682,0.0831888259809472,-10.1309703338848,4.02633829719576e-24,1.15455250672089e-21
"Cops2",6340.81507617331,-0.844497162344614,0.0842089127270481,-10.0285959644431,1.14127886401919e-23,3.21086964931891e-21
"Haus3",1479.87986030939,-1.01919319838877,0.103264987212831,-9.86968793486794,5.63396128035016e-23,1.55570364169076e-20
"Fyttd1",2796.92057250314,-0.745361026599594,0.0757570653974759,-9.83883183289764,7.6594998729589e-23,2.07656004737618e-20
"Tmed5",1033.50271310571,-1.08361371089437,0.110357185793389,-9.81914954702736,9.31258498256862e-23,2.4796420477693e-20
"Zdhhc21",1470.95652353357,-1.19186444793502,0.121445221556998,-9.81400859296586,9.79964977636832e-23,2.5635539967619e-20
"Far1",3359.80943522693,-0.952588694903183,0.0972021643731142,-9.80007699465041,1.12499860358752e-22,2.89221623760234e-20
"Trp53inp1",5440.66025496234,-0.969823197167555,0.0992005084770811,-9.77639340822149,1.42187133982344e-22,3.59347856747582e-20
"Abcb7",2660.3362039124,-1.01158946040807,0.103660826241926,-9.75864747640737,1.6939925530131e-22,4.20985382632971e-20
"4930447C04Rik",562.086624490359,-2.63845476766981,0.271111352567759,-9.73199662308636,2.202271459551e-22,5.38329012022376e-20
"Zfp946",857.717005658276,-2.14295367993038,0.220604254746515,-9.71401790229631,2.627698678258e-22,6.31961532121049e-20
"Gm3604",515.089764025124,-2.08799341000899,0.216020846509686,-9.66570330477513,4.2171321056027e-22,9.98121536930823e-20
"Lin7c",4576.78677790951,-0.835290745696023,0.0864997267959282,-9.65657091226029,4.61038155505165e-22,1.07414686511524e-19
"Dek",9181.76971823082,-1.35596208464841,0.140597329613258,-9.64429472720618,5.19671787632824e-22,1.1921270808297e-19
"Zfp930",1994.19670510669,-1.29767905429611,0.136374866117275,-9.51552944646101,1.8078991015052e-21,4.08448234887031e-19
"Kbtbd8",1742.7603070163,-1.29698777997127,0.136981114233717,-9.46836932395185,2.84246253716503e-21,6.32596401368176e-19
"Ppp3r1",2951.41216013876,-0.918327225972924,0.0974656769872909,-9.42205763463449,4.42333322537547e-21,9.69945907699612e-19
"Cenpk",537.284816692968,-1.37075279186025,0.145784386394385,-9.40260356930131,5.32293197462051e-21,1.15029331410966e-18
"Atp13a3",6963.18717111013,-0.843574716839769,0.089799045140785,-9.39402769280264,5.77487135067459e-21,1.23013009585584e-18
"Ireb2",7679.10802263607,-0.760880469177973,0.0812572376537025,-9.36384857704184,7.68839829236185e-21,1.61467192869588e-18
"Gm5141",387.328156965986,-1.82968744746772,0.195914302002653,-9.33922347048937,9.70432124767346e-21,2.00973797394526e-18
"Eif1a",5611.59420323503,-0.60532595147561,0.0649229056277449,-9.32376555889887,1.12282979438955e-20,2.26250203569494e-18
