"","MD9-R-EB","MD10-R-EB","MD11-R-EB","MD12-R-EB"
"Xkr4",214.502527041419,236.140121730261,348.26205657302,408.822413437996
"Gm37180",12.6177957083187,4.98185910823336,10.7912186543753,18.6298821313517
"Gm38148",5.82359801922404,13.9492055030534,13.7342782873867,19.6648755830935
"Gm19938",20.3825930672841,18.9310646112868,33.3546758407963,55.8896463940552
"Sox17",2116.87787998794,1003.3464243982,1639.28421558737,628.24102520725
"Gm6123",17.4707940576721,14.9455773247001,24.525496941762,22.7698559383188
"Mrpl15",2397.38118458056,2796.81570336221,2581.06329815103,2971.4661999506
"Gm37144",52.4123821730163,63.767796585387,66.7093516815926,82.799476139341
"Lypla1",1134.63101407882,1245.46477705834,2059.16072323034,3028.3908397964
"Tcea1",822.09792038046,960.502436067391,1135.03999846474,1261.65701767321
"Gm6104",13.5883953781894,12.9528336814067,10.7912186543753,12.4199214209011
"Gm37277",23.2943920768961,9.96371821646671,9.81019877670479,18.6298821313517
"Rgs20",50.471182833275,91.6662075914938,105.950146788412,158.35399811649
"Gm16041",11.6471960384481,3.98548728658669,11.7722385320457,19.6648755830935
"Atp6v1h",1454.92890513614,1396.91329394863,1440.13718042026,1569.05007284051
"Oprk1",55.3241811826283,38.8585010442202,46.1079342505125,45.5397118766375
"Rb1cc1",2041.17110573802,1890.11734566374,2462.3598929529,2481.91429727675
"4732440D04Rik",92.2069686377139,96.6480666997271,164.81133944864,153.179030857781
"Pcmtd1",1086.10103058528,1325.17452279007,1717.76580580101,1648.74456862463
"Gm38372",182.472737935686,191.303389756161,369.844493881771,403.647446179287
"Gm26901",41.7357858044389,48.8222192606869,47.088954128183,61.064613652764
"Sntg1",10.6765963685774,15.9419491463467,11.7722385320457,31.0498035522529
"Gm15452",11.6471960384481,8.96734639482004,6.86713914369335,15.5249017761264
"Gm36964",15.5295947179308,12.9528336814067,16.6773379203981,18.6298821313517
"Rrs1",2361.46899679535,2703.15675212742,2053.27460396431,2268.70564621794
"Adhfe1",28.1473904262495,27.8984110061068,48.0699740058535,43.469724973154
"Mybl1",498.888230313526,619.74327306423,915.291545866557,618.926084141574
"Vcpip1",1945.08173842083,1922.99761577808,2493.75252903836,2386.6948997165
"Sgk3",673.596170890247,691.48204422279,828.961796631555,524.741680033074
"Mcmdc2",173.73734090685,168.386837858287,310.002281343871,388.122544403161
"Snhg6",1149.19000912688,1174.72237772143,1311.62357644543,1287.53185396675
"Snord87",12.6177957083187,9.96371821646671,48.0699740058535,60.0296202010222
"Tcf24",24.2649917467668,39.8548728658669,53.9560932718763,50.7146791353464
"Cops5",2750.67946441349,2590.56673628135,2915.59107643666,2800.69228041321
"Cspp1",2486.67635420866,2453.0674248941,2881.2553807182,2765.50250305399
"1700047N06Rik",7.76479735896538,11.9564618597601,14.7152981650572,32.0847970039946
"Arfgef1",5321.7979899009,4735.75526828663,5862.57478895878,5033.17315582019
"Gm37569",23.2943920768961,12.9528336814067,37.2787553514782,16.5598952278682
"Prex2",196.061133313876,334.780932073282,488.547899079899,944.949021440229
"A830018L16Rik",66.9713772210764,97.6444385213738,235.444770640915,394.332505113611
"Gm38178",2.91179900961202,7.97097457317337,25.5065168194325,46.5747053283793
"Sulf1",3913.45786891855,4503.60063384295,5563.36372626929,5474.08036626218
"Slco5a1",582.359801922404,850.901535686257,888.804009169454,678.955704342596
"Prdm14",47.559383823663,97.6444385213738,83.3866896019907,138.689122533396
"Ncoa2",3829.0156976398,3413.5698609615,3132.39646940184,2985.95610827498
"Gm38376",58.2359801922404,45.8331037957469,61.8042522932402,38.2947577144452
"Gm37409",16.5001943878014,19.9274364329334,16.6773379203981,14.4899083243847
"Gm37702",29.1179900961202,15.9419491463467,20.6014174310801,9.31494106567586
"Gm38120",62.118378871723,55.7968220122136,51.0130336388649,45.5397118766375
"Gm38380",46.5887841537923,39.8548728658669,53.9560932718763,33.1197904557364
"Gm7593",12.6177957083187,18.9310646112868,4.9050993883524,4.13997380696705
"Tram1",2731.26747101607,2661.30913561826,3943.69990823533,4158.6036890984
"Lactb2",1063.77723817826,1197.6389296193,1360.67457032895,1306.1617360981
"Gm38319",29.1179900961202,35.8693855792802,37.2787553514782,32.0847970039946
"Gm5523",18.4413937275428,20.9238082545801,35.3167155961373,17.59488867961
"Eya1",325.150889406675,227.172775335441,270.761486237052,225.628572479704
"Msc",17.4707940576721,36.8657574009268,12.7532584097162,34.1547839074782
"Rpl5-ps1",28.1473904262495,26.9020391844601,30.4116162077849,39.329751166187
"Trpa1",7.76479735896538,21.9201800762268,46.1079342505125,69.3445612666981
"Gm10566",27.1767907563788,31.8838982926935,51.9940535165354,37.2597642627034
"Kcnb2",31.0591894358615,14.9455773247001,23.5444770640915,6.20996071045057
"Terf1",1649.04883911027,2056.51143987873,2146.47149234301,2559.53880615738
"Gm37509",13.5883953781894,11.9564618597601,8.82917889903431,11.3849279691594
"Rpl7",23780.6625115013,23863.1051284378,22292.695700184,23146.5935547528
"Rdh10",311.562494028486,254.074814519901,291.362903668132,257.713369483699
"Stau2",704.655360326108,612.768670312703,685.732894491665,679.990697794338
"Ube2w",452.299446159733,469.291127995582,660.226377672233,642.730933531634
"Gm38342",27.1767907563788,25.9056673628135,37.2787553514782,36.2247708109617
"Eloc",858.980707835545,1004.34279621984,1546.08732720868,1741.89397928139
"Tmem70",683.302167588954,641.663453140456,760.290405194621,708.970514443107
"Gm5828",48.5299834935336,44.8367319741002,38.2597752291487,31.0498035522529
"Jph1",737.655749101711,1002.35005257655,1032.03291130934,1374.47130391306
"Gdap1",6.79419768909471,5.97823092988003,13.7342782873867,17.59488867961
"Gm16070",10.6765963685774,16.9383209679934,30.4116162077849,43.469724973154
"Crispld1",343.592283134218,262.045789093075,351.205116206032,400.542465824062
"Tfap2b",2.91179900961202,7.97097457317337,41.2028348621601,45.5397118766375
"Mcm3",7787.12115137241,8751.13370952271,8462.27746478555,9448.45522095055
"Paqr8",206.737729682453,211.230826189094,285.476784402109,424.347315214123
"Efhc1",33.9709884454735,35.8693855792802,52.9750733942059,42.4347315214123
"Tram2",775.509136226667,744.289750770064,853.487293573317,795.909964389415
"Tmem14a",32.0297891057322,42.8439883308069,52.9750733942059,67.2745743632146
"Gsta3",13.5883953781894,29.8911546494001,11.7722385320457,50.7146791353464
"Kcnq5",506.653027672491,230.161890800381,166.773379203981,38.2947577144452
"Gm7658",24.2649917467668,31.8838982926935,25.5065168194325,35.1897773592199
"Rims1",78.6185732595245,146.466657782061,103.988107033071,179.053867151325
"Ogfrl1",563.918408194861,552.986361013903,735.764908252859,773.140108451096
"B3gat2",74.7361745800418,69.746027515267,92.215868501025,75.5545219771487
"Smap1",1517.04728400786,1396.91329394863,1402.85842506879,1128.14286239852
"Sdhaf4",123.266158073575,141.484798673827,164.81133944864,170.773919537391
"Fam135a",1962.5525324785,1917.0193848482,2803.75481038223,2332.87524022593
"Gm37580",14.5589950480601,12.9528336814067,8.82917889903431,12.4199214209011
"Col9a1",123.266158073575,102.626297629607,82.4056697243202,11.3849279691594
"Col19a1",27.1767907563788,34.8730137576335,25.5065168194325,7.24495416219234
"Gm28438",53.382981842887,48.8222192606869,216.805392965176,227.698559383188
"Lmbrd1",1054.07124147955,877.803574870717,1012.41251375593,912.864224436234
"Adgrb3",24.2649917467668,43.8403601524535,83.3866896019907,90.0444303015333
"Gm5525",35.9121877852149,21.9201800762268,31.3926360854553,32.0847970039946
"Phf3",6557.37136964626,6884.9292875785,6708.21392351074,7629.97172624027
"Gm37522",48.5299834935336,43.8403601524535,62.7852721709107,71.4145481701816
"Gm37906",107.736563355645,115.579131311014,184.43173700205,163.528965375198
"Ptp4a1",1172.48440120377,1060.13961823206,1469.56777675038,1432.4309372106
"Khdrbs2",10.6765963685774,14.9455773247001,15.6963180427277,13.4549148726429
"Prim2",1467.54670084446,1269.37770077786,1212.54056880071,1084.67313742537
"Gm37618",37.8533871249562,22.9165518978734,46.1079342505125,36.2247708109617
"1700001G17Rik",19.4119933974135,11.9564618597601,12.7532584097162,20.6998690348352
"Rab23",1389.8987272548,1410.86249945169,1365.57966971731,1609.41481745844
"Bag2",879.363300902829,783.148251814284,755.385305806269,551.651509778359
"Zfp451",3307.80367491925,3241.19753581662,3873.06647704305,3809.81089586143
"Bend6",51.4417825031456,62.7714247637403,63.7662920485811,64.1695940079893
"Dst",12372.2339918415,12069.0518756061,9734.66024612416,10450.3288822366
"Gm37354",13.5883953781894,25.9056673628135,15.6963180427277,15.5249017761264
"Gm38157",31.0591894358615,16.9383209679934,24.525496941762,18.6298821313517
"Gm26788",94.1481679774552,108.604528559487,140.285842506879,160.423985019973
"A930005N03Rik",21.3531927371548,20.9238082545801,18.6393776757391,13.4549148726429
"Gm37233",10.6765963685774,17.9346927896401,13.7342782873867,25.8748362935441
"Ccdc115",545.477014467318,679.52558236303,469.90852140416,420.207341407156
"Imp4",3022.44737197727,2854.60526901771,2509.44884708109,2510.89411392552
"Ptpn18",373.680872900209,310.868008353761,218.767432720517,87.9744433980498
"Gm28417",55.3241811826283,66.756912050327,42.1838547398306,28.9798166487693
"Cfc1",860.921907175287,585.866631128243,657.283318039221,102.464351722434
"Gm28419",100.94236566655,57.7895656555069,94.177908256366,14.4899083243847
"Prss40",45.6181844839216,20.9238082545801,22.563457186421,8.2799476139341
"Amer3",1091.92462860451,959.506064245744,771.081623848997,138.689122533396
"Arhgef4",664.860773861411,635.685222210576,437.534865441034,224.593579027962
"Gm38336",68.9125765608178,77.7170020884404,61.8042522932402,56.9246398457969
"Fam168b",5247.06181532086,4707.85685728052,4513.67245716187,4186.54851229543
"Gm37127",180.531538595945,171.375953323227,191.298876145743,173.878899892616
"Plekhb2",554.212411496154,454.345550670882,558.200310394503,500.936830643013
"Hs6st1",947.305277793776,1174.72237772143,1032.03291130934,1589.74994187535
"Gm33280",40.7651861345683,23.9129237195201,28.4495764524439,27.9448231970276
"Uggt1",4618.11322924466,4606.22693147256,4483.26084095409,4645.05061141703
"Arid5a",77.6479735896538,86.6843484832604,77.5005703359679,90.0444303015333
"Kansl3",2351.76300009664,2218.92004680714,2063.08480274102,1806.06357328938
"Fer1l5",186.355136615169,190.307017934514,185.412756879721,168.703932633907
"Lman2l",1122.98381804037,1090.03077288146,1039.88107033071,943.914027988487
"Cnnm4",432.88745276232,581.881143841656,492.471978590581,519.566712774365
"Gm37909",12.6177957083187,15.9419491463467,18.6393776757391,12.4199214209011
"Cnnm3",1813.08018331842,1806.42211264542,1533.33406879896,1733.61403166745
"Ankrd23",38.8239867948269,47.8258474390402,40.2218149844896,44.5047184248958
"Ankrd39",215.473126711289,193.296133399454,219.748452598187,197.683749282677
"Sema4c",1827.63917836648,1656.96633939841,1601.02444035822,1526.6153413191
"D430040D24Rik",76.6773739197831,59.7823092988003,69.652411314604,46.5747053283793
"Fam178b",66.0007775512057,87.6807203049071,54.9371131495468,123.16422075727
"Cox5b",1717.96141567109,2156.1486220434,1538.23916818731,1608.3798240067
"Actr1b",3993.04704184795,3664.65556001646,3179.48542353002,3195.02478552682
"Zap70",7.76479735896538,16.9383209679934,6.86713914369335,11.3849279691594
"Tmem131",6603.96015380006,6651.77828131318,6359.95186693772,7457.1278197994
"Gm38115",27.1767907563788,25.9056673628135,39.2407951068192,40.3647446179287
"F830112A20Rik",59.206579862111,54.8004501905669,66.7093516815926,81.7644826875992
"Vwa3b",4.85299834935336,14.9455773247001,9.81019877670479,19.6648755830935
"Cnga3",5.82359801922404,12.9528336814067,13.7342782873867,9.31494106567586
"Inpp4a",1361.75133682855,1000.35730893326,967.285599383092,583.736306782354
"Coa5",2989.44698320167,2884.49642366711,2982.30042811826,2685.80800726987
"Unc50",610.507192348653,541.029899154143,569.972548926548,594.086241299772
"Mgat4a",240.708718127927,321.828098391875,354.148175839043,549.581522874876
"2010300C02Rik",49.5005831634043,40.8512446875135,51.9940535165354,39.329751166187
"Tsga10",110.648362365257,106.611784916194,217.786412842846,185.263827861775
"Lipt1",160.148945528661,161.412235106761,153.039100916595,188.368808217001
"Mitd1",468.799640547535,410.505190518429,462.060362382796,438.837223538507
"Mrpl30",980.305666569379,917.658447736584,901.55726757917,975.998824992482
"Txndc9",1706.31421963264,1569.28561909351,2060.14174310801,2110.35164810145
"Eif5b",8193.80241304822,9187.54456740396,8229.77575377765,7310.15874965207
"Rev1",1676.22562986665,1636.04253114383,1653.01849387476,2043.07707373824
"Gm37062",43.6769851441803,27.8984110061068,57.8801727825583,68.3095678149563
"Aff3",1309.33895465554,1406.8770121651,1458.776558096,2118.63159571539
"Gm16150",6.79419768909471,12.9528336814067,11.7722385320457,23.8048493900605
"Gm16151",8.73539702883605,8.96734639482004,10.7912186543753,13.4549148726429
"Gm16152",20.3825930672841,18.9310646112868,15.6963180427277,17.59488867961
"Lonrf2",11.6471960384481,16.9383209679934,29.4305963301144,61.064613652764
"Chst10",80.5597725992658,147.463029603707,141.266862384549,257.713369483699
"Pdcl3",927.893284396363,1051.17227183724,1093.83716360258,1172.64758082342
"Gm37309",81.5303722691365,66.756912050327,77.5005703359679,90.0444303015333
"Npas2",27.1767907563788,11.9564618597601,15.6963180427277,6.20996071045057
"Rpl31",10290.2976999689,8552.85571701503,11685.9087828107,12223.2726650702
"Tbc1d8",725.037953393392,670.55823596821,760.290405194621,703.795547184398
"Cnot11",2146.96646975393,1997.72550240158,1998.33749081477,2200.39607840299
"Gm15832",34.9415881153442,52.8077065472736,88.2917889903431,90.0444303015333
"Rnf149",1093.86582794425,1044.19766908571,954.532340973376,1011.1886023517
"Gm23722",24.2649917467668,41.8476165091602,23.5444770640915,27.9448231970276
"Creg2",8.73539702883605,13.9492055030534,25.5065168194325,18.6298821313517
"Map4k4",16899.1108521183,17622.8284094647,13605.7646834119,11020.6102741463
"Il1r1",13.5883953781894,12.9528336814067,5.88611926602287,26.9098297452858
"Il1rl2",1.94119933974135,8.96734639482004,11.7722385320457,40.3647446179287
"Mfsd9",26.2061910865082,27.8984110061068,30.4116162077849,19.6648755830935
"Pou3f3",23.2943920768961,43.8403601524535,95.1589281340365,90.0444303015333
"Mrps9",1710.19661831213,1866.20442194422,1719.72784555635,1648.74456862463
"Gpr45",21.3531927371548,29.8911546494001,41.2028348621601,47.6096987801211
"Tgfbrap1",940.511080104682,904.705614055178,821.113637610191,884.919401239207
"8430432A02Rik",13.5883953781894,6.9746027515267,25.5065168194325,18.6298821313517
"AI597479",1021.07085270395,959.506064245744,1434.25106115424,1243.02713554186
"Fhl2",289.23870162146,178.350556074754,179.526637613698,113.849279691594
"Gm8210",34.9415881153442,79.7097457317337,21.5824373087505,26.9098297452858
"Nck2",1022.04145237382,853.890651151197,874.088711004397,783.490042968514
"Gm37536",22.3237924070255,11.9564618597601,29.4305963301144,18.6298821313517
"Gm38228",50.471182833275,45.8331037957469,52.9750733942059,68.3095678149563
"Uxs1",450.358246819992,482.243961676989,692.600033635358,645.83591388686
"Tpp2",5117.00145955819,4884.21466971198,6378.59124461346,5949.14236061165
"Mettl21c",66.9713772210764,62.7714247637403,66.7093516815926,55.8896463940552
"Gm8251",47.559383823663,37.8621292225735,62.7852721709107,68.3095678149563
"Tex30",330.003887756029,278.984110061068,593.51702599064,503.006817546497
"Poglut2",1369.51613418752,1390.93506301875,1580.42302292714,1359.98139558868
"Bivm",1007.48245732576,1157.78405675343,1440.13718042026,1332.03657239165
"Ercc5",1981.96452587591,1918.01575666984,1952.22955656425,1663.23447694901
"Gulp1",493.064632294302,309.871636532115,723.992669720814,660.325822211244
"Gm37626",42.7063854743096,32.8802701143402,90.2538287456841,77.6245088806322
"Col3a1",196.061133313876,97.6444385213738,41.2028348621601,41.3997380696705
"Col5a2",33.9709884454735,19.9274364329334,20.6014174310801,37.2597642627034
"Wdr75",3217.53790562128,3416.55897642644,3898.57299386248,4304.53776579399
"Slc40a1",1205.48478997938,896.734639482004,805.417319567463,894.234342304883
"Dnah7b",64.0595782114644,48.8222192606869,73.5764908252859,63.1346005562475
"Dnah7c",10.6765963685774,15.9419491463467,14.7152981650572,11.3849279691594
"Slc39a10",5476.12333741033,5470.08130084023,6564.98502137085,6730.56241667668
"Gm28151",60.1771795319817,60.7786811204469,102.02606727773,89.0094368497916
"Tmeff2",13.5883953781894,13.9492055030534,20.6014174310801,44.5047184248958
"Nabp1",1403.48712263299,1341.11647193642,1785.45617736027,1637.35964065547
"Myo1b",5018.00029323138,4135.93943165533,4316.48746175011,3276.78926821442
"Gm29453",9.70599669870673,14.9455773247001,8.82917889903431,10.3499345174176
"Gm28323",36.8827874550856,36.8657574009268,59.8422125378992,44.5047184248958
"Gm8420",82.5009719390072,84.6916048399671,70.6334311922745,112.814286239852
"Stat4",27.1767907563788,67.7532838719737,54.9371131495468,172.843906440874
"Stat1",132.972154772282,127.535593170774,160.887259937959,174.913893344358
"Gls",2778.82685483974,2575.62115895665,5256.30450455843,4905.86896125595
"Nab1",1009.4236566655,786.137367279224,1274.34482109395,800.049938196382
"Nemp2",513.447225361586,537.044411867556,811.303438833486,738.985324543618
"Mfsd6",182.472737935686,144.473914138767,132.437683485515,160.423985019973
"Inpp1",153.354747839566,137.499311387241,215.824373087505,225.628572479704
"Hibch",473.652638896888,473.276615282169,567.029489293537,588.911274041063
"1700019D03Rik",226.149723079867,370.650317652562,596.460085623651,984.278772606416
"1700019A02Rik",7.76479735896538,20.9238082545801,17.6583577980686,18.6298821313517
"Pms1",785.215132925374,912.676588628351,1425.42188225521,1382.75125152699
"Ormdl1",312.533093698357,291.936943742475,560.162350149844,577.526346071903
"Osgepl1",603.712994659558,636.681594032223,834.847915897578,648.940894242085
"Gm28551",6.79419768909471,3.98548728658669,20.6014174310801,16.5598952278682
"Asnsd1",433.858052432191,320.831726570228,546.428071862457,504.041810998238
"Dnah7a",8.73539702883605,24.9092955411668,13.7342782873867,79.6944957841157
"Stk17b",485.299834935336,580.884772020009,930.987863909285,1420.0110157897
"Hecw2",132.001555102411,156.430375998527,199.147035167107,292.903146842919
"Ccdc150",64.0595782114644,69.746027515267,54.9371131495468,43.469724973154
"Gtf3c3",1984.87632488553,2268.73863788947,2763.53299539774,2920.75152081525
"Pgap1",1177.33739955313,1724.71962327039,3255.02395411065,6636.37801256818
"Gm36955",29.1179900961202,41.8476165091602,59.8422125378992,77.6245088806322
"Ankrd44",176.649139916462,162.408606928407,167.754399081652,194.578768927451
"Sf3b1",14685.1730051433,15694.8489345784,19487.9598699241,18062.7057197972
"Coq10b",304.768296339391,219.201800762268,384.559792046828,332.232898009106
"Gm17971",24.2649917467668,23.9129237195201,18.6393776757391,15.5249017761264
"Hspd1",19188.7554733432,23229.4126498705,20187.4270427031,23032.7442750612
"Hspe1",1068.63023652761,1199.63167326259,2291.66243423824,2873.14182203513
"Mob4",1182.19039790248,1204.61353237083,2195.52248622653,2074.12687729049
"Rftn2",77.6479735896538,72.735142980207,89.2728088680136,51.7496725870881
"Gm10561",21.3531927371548,18.9310646112868,2.94305963301144,11.3849279691594
"Mars2",611.477792018524,604.797695739529,738.707967885871,717.250462057041
"Boll",5.82359801922404,10.9600900381134,17.6583577980686,30.0148101005111
"Gm8292",400.857663656588,351.719253041275,300.192082567167,240.118480804089
"Plcl1",26.2061910865082,25.9056673628135,20.6014174310801,27.9448231970276
"Satb2",309.621294688745,305.886149245528,169.716438836993,172.843906440874
"9130024F11Rik",17.4707940576721,22.9165518978734,11.7722385320457,10.3499345174176
"4930558J18Rik",73.7655749101711,94.6553230564338,93.1968883786955,93.1494106567586
"1700066M21Rik",125.207357413317,128.531964992421,252.122108561313,245.293448062798
"Tyw5",348.445281483571,366.664830365975,449.307103973079,464.712059832051
"Maip1",462.976042528311,351.719253041275,527.788694186718,541.301575260942
"Spats2l",916.246088357915,650.630799535276,494.434018345921,477.131981252952
"Kctd18",544.506414797447,529.073437294382,730.859808864507,625.136044852024
"Sgo2a",1387.95752791506,1475.62666785872,1622.60687766697,1951.99764998496
"Aox1",16.5001943878014,11.9564618597601,7.84815902136383,12.4199214209011
"Aox3",11.6471960384481,30.8875264710468,1.96203975534096,3.10498035522529
"Aox4",23.2943920768961,18.9310646112868,28.4495764524439,6.20996071045057
"Gm37607",46.5887841537923,55.7968220122136,51.9940535165354,46.5747053283793
"Bzw1",9791.40946965535,9627.94091257178,11770.2764922904,13217.901372194
"Clk1",4862.70434605207,4674.97658716618,5905.73966357628,5128.39255338043
"Ppil3",656.125376832575,671.554607789857,661.207397549903,678.955704342596
"Nif3l1",1288.95636158825,1313.21806093031,1275.32584097162,1452.09581279369
"Orc2",2090.67168890143,2388.30325648707,2402.517680415,3024.25086598943
"Gm15834",28.1473904262495,30.8875264710468,22.563457186421,11.3849279691594
"Fam126b",543.535815127577,526.084321829443,947.665201829683,856.974578042179
"Ndufb3",680.390368579341,736.31877619689,708.296351678086,647.905900790343
