"","MD-R-EB-10","MD-R-EB-11","MD-R-EB-12","MD-R-EB-9"
"4933401J01Rik",0,0,0,0
"Gm26206",0,0,0,0
"Xkr4",221,237,355,395
"Gm18956",0,0,1,0
"Gm37180",13,5,11,18
"Gm37363",5,2,6,18
"Gm37686",3,3,6,6
"Gm1992",0,0,0,0
"Gm37329",5,2,9,13
"Gm7341",6,3,3,3
"Gm38148",6,14,14,19
"Gm19938",21,19,34,54
"Gm10568",0,1,0,0
"Gm38385",0,0,0,0
"Gm27396",0,0,0,0
"Gm37381",1,0,0,0
"Rp1",0,2,3,0
"Gm6101",0,0,0,0
"Gm37483",0,0,0,0
"Sox17",2181,1007,1671,607
"Gm37587",12,3,15,3
"Gm7357",12,2,10,5
"Gm22307",2,0,1,0
"Gm38076",0,0,0,0
"Gm37323",0,1,2,2
"Gm7369",0,1,0,1
"Gm6085",11,14,7,7
"Gm6119",2,2,1,6
"Gm25493",4,1,4,1
"Gm2053",4,2,6,0
"Gm6123",18,15,25,22
"Mrpl15",2470,2807,2631,2871
"Gm37144",54,64,68,80
"Lypla1",1169,1250,2099,2926
"Gm37988",2,0,3,3
"Tcea1",847,964,1157,1219
"Gm6104",14,13,11,12
"Gm37277",24,10,10,18
"Rgs20",52,92,108,153
"Gm17100",1,1,2,4
"Gm37079",1,0,1,3
"Gm16041",12,4,12,19
"Gm17101",0,0,0,0
"Atp6v1h",1499,1402,1468,1516
"Gm7182",0,0,0,0
"Gm37567",11,7,9,6
"Gm38264",1,0,0,0
"Oprk1",57,39,47,44
"Gm36965",0,0,0,0
"Gm22463",0,0,0,0
"Gm37429",0,0,0,0
"Npbwr1",9,8,4,1
"Gm19214",0,0,0,0
"Rb1cc1",2103,1897,2510,2398
"4732440D04Rik",95,97,168,148
"Alkal1",0,1,0,1
"Gm2147",0,0,0,0
"Gm7417",0,1,0,1
"Gm19026",1,3,1,4
"St18",3,2,2,4
"Gm42492",0,0,0,0
"Gm7449",1,1,0,0
"Gm37108",5,3,5,7
"Gm37275",0,0,0,0
"Gm37225",0,0,0,0
"Gm37489",0,0,0,2
"Gm5694",0,1,0,1
"Pcmtd1",1119,1330,1751,1593
"Gm26983",11,4,10,14
"Gm38372",188,192,377,390
"Gm9826",5,1,1,4
"Nras-ps2",0,0,0,0
"Gm23274",0,0,0,0
"Gm19002",0,0,0,0
"Gm26901",43,49,48,59
"Gm18984",0,0,0,0
"Gm30414",5,4,12,9
"Gm37791",0,0,0,0
"Gm7470",0,0,0,0
"Rps2-ps2",0,0,0,0
"Gm38216",0,0,0,0
"Sntg1",11,16,12,30
"Gm38024",0,0,0,1
"Gm16284",5,1,0,0
"Gm38259",0,0,0,0
"Gm23358",0,0,0,0
"Gm37005",0,0,0,0
"Gm15452",12,9,7,15
"Gm36964",16,13,17,18
"Gm24276",0,1,1,2
"Gm6152",0,0,0,0
"Gm7445",0,0,0,0
"Gm7493",0,0,0,0
"Gm37629",0,0,0,0
"Gm38008",0,0,0,0
"Gm37143",0,0,1,1
"Gm6187",0,2,3,2
"Gm18299",0,0,0,0
"Gm7512",0,0,0,0
"Gm24765",0,0,0,0
"Gm18300",1,1,1,2
"Rrs1",2433,2713,2093,2192
"Adhfe1",29,28,49,42
"2610203C22Rik",5,3,6,7
"Gm6161",0,0,0,2
"Vxn",1,2,2,0
"Gm29520",0,0,0,0
"Mybl1",514,622,933,598
"Vcpip1",2004,1930,2542,2306
"1700034P13Rik",1,5,5,7
"Sgk3",694,694,845,507
"Gm6195",1,4,4,3
"Gm22607",0,0,0,0
"Mcmdc2",179,169,316,375
"Snhg6",1184,1179,1337,1244
"Snord87",13,10,49,58
"Tcf24",25,40,55,49
"E330040D14Rik",0,2,1,0
"Ppp1r42",0,0,2,0
"Gm15818",0,0,0,0
"Gm24674",1,0,0,0
"Cops5",2834,2600,2972,2706
"Cspp1",2562,2462,2937,2672
"1700047N06Rik",8,12,15,31
"Arfgef1",5483,4753,5976,4863
"Gm26348",6,9,10,9
"Gm37569",24,13,38,16
"Cpa6",20,7,13,0
"Gm38005",1,2,1,0
"Gm15604",4,3,4,4
"Gm25253",0,0,0,0
"Gm15603",0,0,2,1
"Gm37133",0,1,0,2
"Gm5522",1,1,1,2
"Gm28659",1,2,1,2
"Gm22963",0,0,0,0
"Prex2",202,336,498,913
"Gm24173",0,2,1,1
"Gm28686",2,1,6,9
"Gm37410",0,0,0,1
"A830018L16Rik",69,98,240,381
"Gm38178",3,8,26,45
"Gm29273",0,0,1,0
"Gm38069",0,0,2,3
"Gm7560",0,2,0,1
"Gm22633",0,0,0,0
"Mir6341",0,0,0,0
"Gm2383",4,10,4,5
"Gm6216",1,0,1,1
"Gm17644",0,2,0,1
"Gm29663",0,0,1,0
"Sulf1",4032,4520,5671,5289
"Slco5a1",600,854,906,656
"Gm37162",0,0,0,0
"Gm5250",0,1,0,0
"Gm29283",1,1,1,1
"Prdm14",49,98,85,134
"Ncoa2",3945,3426,3193,2885
"Gm38376",60,46,63,37
"Gm37409",17,20,17,14
"Gm27881",1,4,1,2
"Gm38223",1,3,2,4
"Gm37702",30,16,21,9
"Gm23169",0,0,3,2
"Gm38120",64,56,52,44
"Gm38380",48,40,55,32
"Gm29570",1,3,2,3
"Gm7593",13,19,5,4
"Tram1",2814,2671,4020,4018
"Lactb2",1096,1202,1387,1262
"Gm38319",30,36,38,31
"Xkr9",0,0,0,0
"Gm26273",0,0,0,0
"Gm5523",19,21,36,17
"Gm36947",0,0,1,0
"Gm25491",0,0,0,0
"Gm37400",0,0,0,0
"Eya1",335,228,276,218
"Gm22616",0,2,0,0
"Gm37444",0,0,3,1
"Gm9947",2,5,2,6
"Msc",18,37,13,33
"Gm37412",3,1,0,5
"Smt3h2-ps4",0,0,0,0
"Rpl5-ps1",29,27,31,38
"Trpa1",8,22,47,67
"Gm26345",0,0,0,0
"Gm10566",28,32,53,36
"Kcnb2",32,15,24,6
"Gm38116",0,0,1,0
"Gm37138",3,0,0,0
"Gm25227",0,0,0,0
"Gm25168",0,0,0,0
"Gm6060",0,0,0,0
"Gm28669",0,0,0,0
"Terf1",1699,2064,2188,2473
"Gm37509",14,12,9,11
"Sbspon",1,3,2,6
"Gm23259",0,0,0,0
"Gm7634",0,2,0,0
"4930444P10Rik",2,1,1,3
"Rpl7",24501,23950,22724,22364
"Rdh10",321,255,297,249
"Gm38249",0,0,0,0
"Gm28095",0,2,3,0
"Stau2",726,615,699,657
"Gm7568",3,0,1,0
"Ube2w",466,471,673,621
"Gm38342",28,26,38,35
"Eloc",885,1008,1576,1683
"D030040B21Rik",3,4,5,4
"Gm7654",0,0,1,0
"Tmem70",704,644,775,685
"Ly96",5,10,9,9
"Gm29649",0,0,0,0
"Gm5828",50,45,39,30
"Gm28376",0,0,1,1
"4921511E07Rik",1,0,1,0
"Jph1",760,1006,1052,1328
"Gm28783",0,1,0,0
"Gdap1",7,6,14,17
"Gm28784",0,0,0,0
"Gm28785",0,0,0,0
"Gm5251",8,7,2,4
"Rbm6-ps1",4,9,7,11
"Gm6075",0,0,1,0
"Gm25166",0,0,0,0
"Pi15",2,7,4,8
"Gm28154",1,3,8,3
"Gm16070",11,17,31,42
"Crispld1",354,263,358,387
"Gm28153",7,2,4,8
"Gm7690",0,0,2,1
"Gm18775",0,0,0,1
"Gm17969",2,0,6,1
"Gm28756",2,3,8,8
"Gm28755",0,0,0,0
"Gm45784",0,0,0,0
"Crisp4",0,0,0,0
"Defb44-ps",0,0,0,0
"Defb18",0,0,0,0
"Defb41",0,0,0,0
"Gm17837",0,0,0,3
"Gm5252",0,1,0,0
"Gm24075",0,0,0,0
"Gm28343",0,0,0,0
"Gm28344",0,0,0,0
"Gm15825",0,0,0,0
"Tfap2d",0,0,0,0
"Gm10075",3,5,0,3
"Tfap2b",3,8,42,44
"Gm28340",0,0,0,0
"Gm28341",0,0,0,0
"Gm4849",8,14,6,7
"Gm24633",0,0,0,0
"Gm38382",0,0,0,0
"Pkhd1",2,3,1,6
"Gm37315",0,0,1,0
"4930486I03Rik",0,0,0,1
"Gm15795",3,1,0,0
"Gm24162",0,0,0,0
"Gm28653",0,0,1,0
"Mir206",0,0,0,0
"Mir133b",0,0,0,0
"Il17a",0,0,0,0
"Il17f",5,3,3,4
"Mcm3",8023,8783,8626,9129
